Line	COSMIC_ID	Site	Histology
NCI-H522	905944	lung	carcinoma
Mewo	908128	skin	malignant_melanoma
C2BBe1	910700	large_intestine	carcinoma
HCC1428	1290905	breast	carcinoma
COR-L95	1297439	lung	carcinoma
Ca9-22	753538	upper_aerodigestive_tract	carcinoma
NCI-H747	908457	large_intestine	carcinoma
D-245MG	946366	central_nervous_system	glioma
JIMT-1	1298157	breast	carcinoma
OVISE	1240198	ovary	carcinoma
JHOS-3	1480358	ovary	carcinoma
SHP-77	724872	lung	carcinoma
COLO-824	906812	breast	carcinoma
DOHH-2	906842	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
COLO-684	910691	endometrium	carcinoma
JM1	1327768	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SUP-T1	909743	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SW48	909751	large_intestine	carcinoma
HCC1143	749710	breast	carcinoma
RF-48	909697	stomach	carcinoma
BT-549	905951	breast	carcinoma
T84	909761	large_intestine	carcinoma
ACN	906803	autonomic_ganglia	neuroblastoma
MRK-nu-1	908151	breast	carcinoma
WM-115	909784	skin	malignant_melanoma
SK-NEP-1	909730	kidney	Wilms_tumour
786-0	905947	kidney	carcinoma
SK-MEL-2	905955	skin	malignant_melanoma
ME-180	687514	cervix	carcinoma
LB373-MEL-D	753581	skin	malignant_melanoma
HCC1806	907047	breast	carcinoma
SK-MG-1	909729	central_nervous_system	glioma
HCC1395	749712	breast	carcinoma
NCI-H596	908459	lung	carcinoma
SC-1	1331030	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
CML-T1	910951	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
NCI-H146	910899	lung	carcinoma
HDLM-2	924110	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
COR-L105	906805	lung	carcinoma
NCI-H2444	1298356	lung	carcinoma
NCI-H1836	1240182	lung	carcinoma
JiyoyeP-2003	907268	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KNS-62	753569	lung	carcinoma
MHH-CALL-2	908132	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SBC-1	713885	lung	carcinoma
SUIT-2	1240219	pancreas	carcinoma
WM1552C	1299078	skin	malignant_melanoma
OVCAR-3	905933	ovary	carcinoma
KYSE-150	907317	oesophagus	carcinoma
MN-60	908143	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
TC-YIK	946357	cervix	carcinoma
MOLM-13	1330947	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
NB13	949177	autonomic_ganglia	neuroblastoma
NCI-H2030	722045	lung	carcinoma
RERF-LC-KJ	1298537	lung	carcinoma
D-283MED	906834	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma
SW1417	909747	large_intestine	carcinoma
TGBC1TKB	909769	biliary_tract	carcinoma
OAW-42	910548	ovary	carcinoma
BL-70	910707	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NB7	949174	autonomic_ganglia	neuroblastoma
COLO-679	906818	skin	malignant_melanoma
OVCA420	1480364	ovary	carcinoma
HH	907056	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NB14	949178	autonomic_ganglia	neuroblastoma
LNCaP-Clone-FGC	907788	prostate	carcinoma
SU-DHL-1	909742	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
LS-1034	917486	large_intestine	carcinoma
LS-411N	907794	large_intestine	carcinoma
KYSE-70	753576	oesophagus	carcinoma
LB1047-RCC	753577	kidney	carcinoma
SW982	909759	soft_tissue	synovial_sarcoma
KP-3	1298219	pancreas	carcinoma
KP-N-YN	907314	autonomic_ganglia	neuroblastoma
H2810	1240137	pleura	mesothelioma
U-118-MG	687588	central_nervous_system	glioma
NCI-H3122	1240190	lung	carcinoma
TE-441-T	924248	soft_tissue	rhabdomyosarcoma
MHH-CALL-4	908133	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MKN1	908138	stomach	carcinoma
M059J	949094	central_nervous_system	glioma
SK-LU-1	909721	lung	carcinoma
LU-139	713878	lung	carcinoma
HSC-2	753562	upper_aerodigestive_tract	carcinoma
HCC70	907048	breast	carcinoma
P31-FUJ	909253	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
NB12	949172	autonomic_ganglia	neuroblastoma
RCC-JW	1524416	kidney	carcinoma
WSU-DLCL2	1331050	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H209	688013	lung	carcinoma
IST-SL1	753564	lung	carcinoma
ALL-SIL	1295740	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HUTU-80	907073	small_intestine	carcinoma
A204	910784	soft_tissue	rhabdomyosarcoma
SW780	687457	urinary_tract	carcinoma
Calu-3	687777	lung	carcinoma
LB647-SCLC	753582	lung	carcinoma
MFH-ino	925343	soft_tissue	malignant_fibrous_histiocytoma-pleomorphic_sarcoma
CAL-33	753541	upper_aerodigestive_tract	carcinoma
TALL-1	909762	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
