GDSC1000 cosmic id	GDSC1000 name	CCLE name	CTRP name	CTRP idx	CTRP raw name	CTRP master ccl id	CTRP exp id1			Comments
906800	697	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
687452	5637	5637_URINARY_TRACT	5637	643	5637	3	152			
924100	22RV1	22RV1_PROSTATE	22RV1	498	22RV1	7	139			
910924	23132-87	N/A	2313287	575	2313287	4	34			
687561	42-MG-BA	42MGBA_CENTRAL_NERVOUS_SYSTEM	42MGBA	76	42MGBA	10	829			
906798	639-V	639V_URINARY_TRACT	639V	644	639V	14	71			
906797	647-V	N/A	647V	645	647V	15	625			
910922	769-P	769P_KIDNEY	769P	162	769P	16	140			
905947	786-0	786O_KIDNEY	786O	163	786O	19	697			
906795	8305C	8305C_THYROID	8305C	599	8305C	20	35			
924102	8505C	8505C_THYROID	8505C	600	8505C	21	117			
687562	8-MG-BA	8MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA	77	8MGBA	22	626			
910921	A101D	N/A	A101D	505	A101D	23	627			
687563	A172	A172_CENTRAL_NERVOUS_SYSTEM	A172	78	A172	25	553			
910784	A204	A204_SOFT_TISSUE	A204	556	A204	26	848			
906792	A2058	A2058_SKIN	A2058	506	A2058	27	628			
906794	A253	A253_SALIVARY_GLAND	A253	503	A253	28	582			
906804	A2780	A2780_OVARY	A2780	408	A2780	29	300			
906793	A375	A375_SKIN	A375	507	A375	30	44	421		
905948	A498	N/A	A498	164	A498	33	617			
905949	A549	A549_LUNG	A549	253	A549	35	45	349	382	
684052	A673	A673_BONE	A673	22	A673	37	646			
905950	ACHN	ACHN_KIDNEY	ACHN	165	ACHN	43	573			
906790	AGS	N/A	AGS	576	AGS	44	69	165		
1295740	ALL-SIL	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALLSIL	149	ALLSIL	46	15			
910933	AM-38	N/A	AM38	79	AM38	47	328			
1295741	AMO-1	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
910781	AN3-CA	AN3CA_ENDOMETRIUM	AN3CA	124	AN3CA	50	572			
910702	AsPC-1	ASPC1_PANCREAS	ASPC1	451	ASPC1	52	629	733		
910704	AU565	AU565_BREAST	AU565	38	AU565	53	873			
924104	BCPAP	BCPAP_THYROID	BCPAP	601	BCPAP	57	25			
906746	Becker	N/A	BECKER	80	BECKER	59	561			
753534	BEN	N/A	BEN	254	BEN	60	84			
910926	BFTC-905	N/A	BFTC905	647	BFTC905	61	6			
910698	BFTC-909	BFTC909_KIDNEY	BFTC909	166	BFTC909	62	5			
906696	BHT-101	N/A	BHT101	602	BHT101	64	217			
753535	BHY	N/A	BHY	611	BHY	65	36			
1240121	BICR22	N/A	BICR22	614	BICR22	68	764			
1290725	BICR31	N/A	BICR31	615	BICR31	69	765			
910706	BL-41	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
906801	BT-20	BT20_BREAST	BT20	39	BT20	90	663			
946359	BT-474	BT474_BREAST	BT474	40	BT474	97	836			
905951	BT-549	BT549_BREAST	BT549	41	BT549	99	500			
906693	BxPC-3	BXPC3_PANCREAS	BXPC3	452	BXPC3	101	72			
910700	C2BBe1	C2BBE1_LARGE_INTESTINE	C2BBE1	182	C2BBE1	102	447			
906830	C32	C32_SKIN	C32	508	C32	103	584			
910850	C3A	C3A_LIVER	N/A	N/A	N/A	N/A				
753539	CADO-ES1	N/A	CADOES1	23	CADOES1	108	7			
905963	CAKI-1	N/A	CAKI1	167	CAKI1	109	599			
906826	CAL-120	N/A	CAL120	42	CAL120	111	8			
753540	CAL-12T	CAL12T_LUNG	CAL12T	255	CAL12T	112	153			
924106	CAL-148	N/A	CAL148	43	CAL148	113	218			
910916	CAL-27	CAL27_UPPER_AERODIGESTIVE_TRACT	CAL27	618	CAL27	114	631			
1290730	CAL-29	N/A	CAL29	648	CAL29	115	9			
753541	CAL-33	N/A	CAL33	619	CAL33	116	797			
910927	CAL-51	N/A	CAL51	44	CAL51	117	219	277		
910952	CAL-54	N/A	CAL54	169	CAL54	118	664			
906828	CAL-62	N/A	CAL62	603	CAL62	119	10			
1290765	CAL-78	CAL78_BONE	CAL78	24	CAL78	120	314			
910852	CAL-85-1	CAL851_BREAST	CAL851	45	CAL851	121	585			
687777	Calu-3	CALU3_LUNG	CALU3	257	CALU3	123	118			
724859	Calu-6	CALU6_LUNG	CALU6	258	CALU6	124	398			
946382	CAMA-1	CAMA1_BREAST	CAMA1	46	CAMA1	125	131			
906825	Caov-3	N/A	CAOV3	409	CAOV3	126	399			
753624	CAPAN-1	N/A	CAPAN1	453	CAPAN1	128	665			
910915	Capan-2	CAPAN2_PANCREAS	CAPAN2	454	CAPAN2	129	799			
910943	CAS-1	CAS1_CENTRAL_NERVOUS_SYSTEM	CAS1	81	CAS1	130	1			
906823	CCF-STTG1	N/A	CCFSTTG1	82	CCFSTTG1	131	483	497		
1240123	CCK-81	CCK81_LARGE_INTESTINE	CCK81	183	CCK81	132	362			
906821	CFPAC-1	N/A	CFPAC1	455	CFPAC1	138	85			
910568	CGTH-W-1	N/A	CGTHW1	604	CGTHW1	139	26			
687596	ChaGo-K-1	N/A	CHAGOK1	259	CHAGOK1	141	448			
910853	CHL-1	CHL1_SKIN	N/A	N/A	N/A	N/A				
906820	CHP-212	CHP212_AUTONOMIC_GANGLIA	CHP212	1	CHP212	144	666			
1290769	CL-11	N/A	CL11	184	CL11	147	301			
1290771	CL-34	N/A	CL34	185	CL34	149	239			
910566	CMK	CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
910951	CML-T1	N/A	CMLT1	150	CMLT1	154	73			
905961	COLO-205	COLO205_LARGE_INTESTINE	COLO205	187	COLO205	156	100			
910569	COLO-320-HSR	COLO320_LARGE_INTESTINE	N/A	N/A	N/A	N/A				
910692	COLO-668	N/A	COLO668	260	COLO668	158	449			
910689	COLO-678	COLO678_LARGE_INTESTINE	COLO678	188	COLO678	160	766			
906818	COLO-679	COLO679_SKIN	COLO679	510	COLO679	161				Experiment identifier not available in v20.meta.per_experiment.txt for this cell line
906817	COLO-680N	N/A	COLO680N	384	COLO680N	162	27			
1240125	COLO-783	N/A	COLO783	512	COLO783	168				Experiment identifier not available in v20.meta.per_experiment.txt for this cell line
906814	COLO-792	N/A	COLO792	513	COLO792	169	632			
906813	COLO-800	N/A	COLO800	514	COLO800	170	484			
687448	COLO-829	N/A	COLO829	515	COLO829	172	536			
906805	COR-L105	CORL105_LUNG	CORL105	262	CORL105	174	600			
687780	COR-L23	CORL23_LUNG	N/A	N/A	N/A	N/A				
1297439	COR-L95	N/A	CORL95	263	CORL95	183	682			
910554	CW-2	N/A	CW2	189	CW2	190	335			
906834	D-283MED	N/A	D283MED	83	D283MED	193	683			
1290797	DAN-G	N/A	DANG	456	DANG	201	537			
906833	Daoy	DAOY_CENTRAL_NERVOUS_SYSTEM	DAOY	84	DAOY	202	119			
906835	DBTRG-05MG	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG	85	DBTRG05MG	205	341			
906836	DEL	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
906837	Detroit562	DETROIT562_UPPER_AERODIGESTIVE_TRACT	DETROIT562	620	DETROIT562	208	132			
906839	DK-MG	DKMG_CENTRAL_NERVOUS_SYSTEM	DKMG	86	DKMG	211	485			
687983	DMS-114	DMS114_LUNG	DMS114	264	DMS114	215	800			
687985	DMS-273	N/A	DMS273	265	DMS273	217	601			
907295	DMS-53	N/A	DMS53	267	DMS53	219	788			
906842	DOHH-2	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
1479987	DOV13	DOV13_OVARY	DOV13	414	DOV13	223	142			
905935	DU-145	DU145_PROSTATE	DU145	499	DU145	225	647	775		
906846	EB2	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
753554	EBC-1	EBC1_LUNG	EBC1	269	EBC1	230	400			
906848	ECC10	N/A	ECC10	577	ECC10	231	257			
906849	ECC12	N/A	ECC12	578	ECC12	232	28			
753555	EC-GI-10	N/A	ECGI10	385	ECGI10	233	466			
906851	EFM-19	EFM19_BREAST	N/A	N/A	N/A	N/A				
1290798	EFM-192A	N/A	EFM192A	47	EFM192A	236	767			
