HGNC ID	Approved Symbol	Entrez Gene ID
5	A1BG	1
7	A2M	2
8	A2MP1	3
15	NATP	11
16	SERPINA3	12
17	AADAC	13
18	AAMP	14
19	AANAT	15
20	AARS	16
21	AATK	9625
22	AAVS1	17
23	ABAT	18
29	ABCA1	19
30	ABCA10	10349
31	ABCA11P	79963
32	ABCA2	20
33	ABCA3	21
34	ABCA4	24
35	ABCA5	23461
36	ABCA6	23460
37	ABCA7	10347
38	ABCA8	10351
39	ABCA9	10350
40	ABCB1	5243
41	ABCB10	23456
42	ABCB11	8647
43	TAP1	6890
44	TAP2	6891
45	ABCB4	5244
46	ABCB5	340273
47	ABCB6	10058
48	ABCB7	22
49	ABCB8	11194
50	ABCB9	23457
51	ABCC1	4363
52	ABCC10	89845
53	ABCC2	1244
54	ABCC3	8714
55	ABCC4	10257
56	ABCC5	10057
57	ABCC6	368
59	ABCC8	6833
60	ABCC9	10060
61	ABCD1	215
62	ABCD1P1	23785
63	ABCD1P2	26983
64	ABCD1P3	26982
65	ABCD1P4	26957
66	ABCD2	225
67	ABCD3	5825
68	ABCD4	5826
69	ABCE1	6059
70	ABCF1	23
71	ABCF2	10061
72	ABCF3	55324
73	ABCG1	9619
74	ABCG2	9429
76	ABL1	25
77	ABL2	27
78	ABLIM1	3983
79	ABO	28
80	AOC1	26
81	ABR	29
82	ACAA1	30
83	ACAA2	10449
84	ACACA	31
85	ACACB	32
87	ACAD8	27034
88	ACADL	33
89	ACADM	34
90	ACADS	35
91	ACADSB	36
92	ACADVL	37
93	ACAT1	38
94	ACAT2	39
95	SLC33A1	9197
99	ASIC2	40
100	ASIC1	41
101	ASIC3	9311
102	CNNM1	26507
103	CNNM2	54805
104	CNNM3	26505
105	CNNM4	26504
108	ACHE	43
114	ACLS	46
115	ACLY	47
117	ACO1	48
118	ACO2	50
119	ACOX1	51
120	ACOX2	8309
121	ACOX3	8310
122	ACP1	52
123	ACP2	53
124	ACP5	54
125	ACPP	55
126	ACR	49
127	ACRV1	56
129	ACTA1	58
130	ACTA2	59
132	ACTB	60
133	POTEH	23784
134	ACTBP1	643309
135	ACTBP2	62
136	ACTBP3	63
137	ACTBP4	64
139	ACTBP6	66
140	ACTBP7	67
141	ACTBP8	68
142	ACTBP9	69
