Node	HGNC.symbols
AKT	AKT1
AMP_ATP	ADCY1
AMPK	PRKAA1
APC	APC
ATM_ATR	
BAD	BAD
Bak	BAK1
BAX	BAX
BCL2	BCL2
Bcl_XL	BCL2L1
beta_catenin	CTNNB1
Caspase8	CASP8
Caspase9	CASP9
Cdc20	CDC20
Cdh1	ANAPC1
CHK1_2	CHEK1
COX412	COX4I2
CyclinA	CCNA2
CyclinB	CCNB1, CCNB2, CCNB3
CyclinD	CCND1, CCND2, CCND3
CyclinE	CCNE1, CCNE2
CytoC_APAF1	
Dsh	DVL1, DVL2, DVL3
E2F	E2F1, E2F2, E2F3, E2F4, E2F5, E2F6, E2F7, E2F8
E_cadherin	CDH1
eEF2	EEF2
eEF2K	EEF2K
ERK1_2	MAPK1
FADD	FADD
FosJun	
FOXO	FOXO1
GLI	GLI1, GLI2
GLUT1	SLC2A1
GSH	GSS
GSK_3_APC_AXIN	
GSK_3	GSK3A
HIF1	HIF1A
IKK	CHUK
JNK	MAPK8
Lactic_acid	
LDHA	LDHA
MAX	MAX
Mdm2	MDM2
Miz_1	ZBTB17
mTOR	MTOR
MXI1	MXI1
MYC_MAX	
MYC	MYC
NF1	NF1
NF_kB	NFKB1
p14ARF	CDKN2A
p15	CDKN2B
p21	CDKN1A
p53_Mdm2	
p53_PTEN	
p53	TP53
p70S6kab	RPS6KB1
p90RSK	RPS6KA1
PDK1	PDK1
PHDs	EGLN2
PI3K	PIK3CA
PIP3	
PKC	PRKCA
PTEN	PTEN
Raf	RAF1, ARAF, BRAF
RAGS	RAG1, RAG2
Ras	KRAS, HRAS, NRAS
Rheb	RHEB
ROS	NOX1
RTK	ERBB2,ERBB3,ERBB4,FLT1,FLT3,FLT4,INSR,KDR,NTRK1,NTRK2,NTRK3,PTK7
Slug	SNAI2
Smad2_3_E2F_p107	
Smad2_3_Smad4_Miz_1	 
Smad2_3_Smad4	SMAD2, SMAD3, SMAD4
Snail	SNAI1
TAK1	MAP3K7
TCF	TCF4, TCF7L1
TERT	TERT
TGFbeta	TGFB1
TNFalpha	TNFRSF1A
TSC1_2	TSC2
UbcH10	UBE2C
VEGF	VEGFA, VEGFB, VEGFC, VEGFD
VHL	VHL
WNT	WNT1
DNA_Damage	
Acidosis	
Rb	RB1
Apoptosis	
p27	CDKN1B
Proliferation	
E2F_CycE	
Hypoxia	
Nutrients	
Carcinogen	
DNA_Repair	
GFs	
Cdh1_UbcH10	
