Node	HUGO
AKT	AKT1
Alpelisib	
Apoptosis	
Apoptosis_2	
Apoptosis_3	
BAD	BAD
BCL2	
BCL2_T	BCL2
BIM	
BIM_T	BCL2L11
CDK46	CDK4, CDK6
cycD_CDK46	
cycD_CDK46_2	
cycE_CDK2	
cycE_CDK2_T	CCNE1, CCNE2, CDK2
cyclinD	CCND1, CCND2, CCND3
cyclinD_2	
E2F	E2F1, E2F2, E2F3, E2F4, E2F5, E2F6, E2F7, E2F8
E2F_2	
E2F_3	
EIF4F	EIF4A1, EIF4A2, EIF4A3, EIF4G1, EIF4G2, EIF4G3, EIF4EBP1
ER	
ER_transcription	
ER_transcription_2	
ESR1	ESR1
ESR1_2	
Everolimus	
FOXA1	FOXA1
FOXO3	FOXO3
FOXO3_Ub	
Fulvestrant	
HER2	ERBB2
HER2_3	
HER2_3_2	
HER3	
HER3_2	
HER3_T	ERBB3
IGF1R	
IGF1R_2	
IGF1R_T	IGF1R
Ipatasertib	
KMT2D	KMT2D
MAPK	MAPK1
MAPK_2	
MCL1	MCL1
mTORC1	MTOR
mTORC2	MTOR
mTORC2_pm	
MYC	MYC
MYC_2	
Neratinib	
p21_p27	
p21_p27_T	CDKN1A, CDKN1B
Palbociclib	
PBX1	PBX1
PDK1	PDPK1
PDK1_pm	
PI3K	PIK3CA
PI3K_2	
PIM	PIM1, PIM2, PIM3
PIP3	
PIP3_2	
PRAS40	AKT1S1
pRb	RB1
pRb_2	
pRb_3	
Proliferation	
Proliferation_2	
Proliferation_3	
Proliferation_4	
PTEN	PTEN
RAS	KRAS, HRAS, NRAS
RAS_2	
RAS_3	
S6K	RPS6KB1
SGK1	
SGK1_T	SGK1
Trametinib	
Translation	
TSC	TSC1, TSC2
