"","AKT","AMP_ATP","AMPK","APC","BAD","Bak","BAX","BCL2","Bcl_XL","beta_catenin","Caspase8","Caspase9","Cdc20","Cdh1","CHK1_2","COX412","CyclinA","E_cadherin","eEF2","ERK1_2","FOXO","GLUT1","GSH","GSK_3","HIF1","JNK","LDHA","MAX","Mdm2","Miz_1","mTOR","MXI1","MYC","NF1","NF_kB","p14ARF","p15","p21","p53","p70S6kab","p90RSK","PDK1","PHDs","PI3K","PKC","PTEN","Rheb","ROS","Slug","Snail","TAK1","TERT","TGFbeta","TNFalpha","TSC1_2","UbcH10","VHL","WNT","Rb","p27","CyclinB","CyclinD","CyclinE","Dsh","E2F","GLI","Raf","RAGS","Ras","RTK","Smad2_3_Smad4","TCF","VEGF"
"MB-0000",0.238537254874345,0.317679866033248,0.65224294982848,0.659518234016734,0.403825363540432,0.420788588446257,0.294747311134872,0.61263913862133,0.446912077516336,0.808060529540761,0.562663791928609,0.376777180132078,0.0802867287308271,0.185159428486132,0.148540802104321,0.667996866588462,0.0998287342020186,0.472829505842626,0.521312293136643,0.307877190539282,0.950392872382569,0.267862282608034,0.363977020327259,0.520285345147666,0.62373039529162,0.0555787088518314,0.546539234576172,0.688923006506152,0.65178545576005,0.196104901101007,0.341858101638305,0.760382381225911,0.941206733083808,0.289666413751766,0.258114506037304,0.342969209589895,0.813416075778256,0.945233786073821,0.606444611405639,0.35786872246005,0.128434622361312,0.420515928105458,0.23456467370693,0.302176069285026,0.806777696896597,0.839269672012643,0.73737994030654,0.421228710884622,0.708715167337544,0.502614732493467,0.39877196049061,0.913519443698729,0.323963177693284,0.773703265183465,0.324528418409255,0.0690373761871673,0.46681131772256,0.385796842170129,0.41036664077533,0.430536879778021,0.112021257156926,0.557331455467564,0.145316651171167,0.392031183202072,0.360352567400399,0.665423330327429,0.264264942825283,0.510139291560302,0.256199894958759,0.547540934621636,0.653133916715029,0.83554745835999,0.703919022708287
"MB-0002",0.535744481604758,0.978425513831309,0.0981895479703083,0.83193996100297,0.894714149370457,0.600452762589636,0.512599316999108,0.557812187118,0.335305595357857,0.739595277796815,0.887278264501806,0.372707773374811,0.339675234412747,0.48239956183953,0.282643284365975,0.225622751190521,0.29047254432568,0.842495366984927,0.699425325386936,0.383047053064993,0.311493483765206,0.526370298129398,0.404462790072531,0.788379877655704,0.321343532060782,0.941173852883735,0.265973062870024,0.972341513644291,0.808299547497279,0.525562156673073,0.401738798499339,0.560864751855501,0.687261118717056,0.0546837617539698,0.266112236198196,0.751990299656212,0.494165727065801,0.639540442958825,0.504691047174563,0.127296622078462,0.27540327583944,0.33907859258274,0.219105704266166,0.344049610813736,0.228678889978648,0.626400081999336,0.740342740337074,0.691140733437975,0.649807066898066,0.430046994532746,0.116195675149613,0.774552999434643,0.513507964806272,0.260636447737348,0.326887848735972,0.340198550873787,0.961733388100622,0.456360073857196,0.112471889423917,0.889831775881484,0.38384077964726,0.518219156778857,0.345164091275477,0.47931139401236,0.374232255484899,0.215432052482343,0.580240120011915,0.610624576257542,0.641848080333301,0.492434861069694,0.631877451039501,0.462435936610165,0.494058160784547
"MB-0005",0.759642763968849,0.371474861166962,0.873405677233798,0.85775614046127,0.81448256461217,0.776963376008423,0.909430609638336,0.217579809312723,0.595782917644649,0.564310419566908,0.677798514882532,0.191064036795756,0.191551436874887,0.130447502030446,0.759566441547688,0.371073776814081,0.538198816361169,0.799137157139371,0.382276890212022,0.617238298007829,0.381817464766311,0.304386041597387,0.230217055408656,0.870089006934267,0.975789276318073,0.560458711846906,0.824480078697472,0.931247286903435,0.253061069602149,0.264126597970126,0.11865690447036,0.350971528790373,0.315049144182139,0.231169635995136,0.187012725521267,0.518491087795441,0.808504398956468,0.862847562301857,0.649865136821779,0.16844636522801,0.0741252625214293,0.269256244636088,0.152398193953316,0.948356239437726,0.351048471511115,0.367089691139399,0.820356838335633,0.629433724025745,0.924439487293672,0.369513698599212,0.846509711248809,0.781869503751018,0.611268499458976,0.228196975186021,0.186113484611433,0.443719961101518,0.520559351582799,0.171715220416232,0.831289943007088,0.968319279791767,0.571815271271511,0.315085371309796,0.583565452518621,0.274370390286148,0.483452594406503,0.33687069071839,0.341491237451345,0.602381809551785,0.649979293910481,0.505666751304206,0.407784213230745,0.361773052917126,0.337535551489998
"MB-0006",0.817579438409268,0.349112467377388,0.939631034068884,0.870854911305921,0.459357736982579,0.700605046179942,0.453073597694754,0.531703572890813,0.700224681131752,0.524491927124375,0.24700339593037,0.683356774388793,0.242775069397605,0.280024690698891,0.312758036120196,0.452400753960503,0.384069552843755,0.821756616168504,0.160698050361648,0.412912741588407,0.622997005297708,0.740072971464702,0.163239572256194,0.740000463602455,0.970643154961887,0.455591371955937,0.482487181487314,0.94493256235889,0.63290954749011,0.145534034883466,0.0991255473228004,0.588714290867238,0.362750303232646,0.348089335528147,0.0847051080990722,0.652662157359711,0.789667731725478,0.573968596508757,0.873576119609729,0.916463936687465,0.053733824021088,0.815205978495502,0.188682480798905,0.989882977796354,0.675608800478124,0.656741634056455,0.740296714555239,0.12400415974733,0.684799861093712,0.280847248868682,0.87011116505013,0.598775222782421,0.736740135559095,0.197609006885089,0.254131803973807,0.182567729308789,0.401390677305165,0.336173410371763,0.849913867999118,0.979306334761795,0.562146298687173,0.487610654455283,0.51924651229414,0.375677820943636,0.568738140678392,0.473755751864923,0.406052776817129,0.759503427006407,0.718943255065789,0.406438136290549,0.604766081619063,0.364209030547608,0.441716879634166
"MB-0008",0.275857991469788,0.375465506184308,0.290288405983045,0.587258397997566,0.6382373057813,0.887325955492847,0.918058071938158,0.19187212319908,0.815266473190488,0.622985716047433,0.888474267607042,0.392429125355328,0.466680864919769,0.419699718035198,0.682873719856997,0.999797862793905,0.539843716615381,0.745588752336391,0.124124838987046,0.812198174139453,0.211710627090995,0.239320098795596,0.349834295529568,0.259662406817155,0.806835387507064,0.381866409406573,0.808834287382197,0.806801642593415,0.542585061635263,0.274522898260262,0.324851444944683,0.867547808986058,0.638351349990101,0.433598780700149,0.163520824061922,0.785310783835212,0.710725604505458,0.874051814663671,0.605912644541753,0.332398593441855,0.358808682730373,0.438938209091474,0.681216005449729,0.394052403087885,0.239463534529543,0.532873839703725,0.20859017625735,0.649579156006084,0.361668315692219,0.558872762500945,0.0954049375361564,0.247552025739949,0.234817413418724,0.116044256591508,0.636885216678505,0.644402613567816,0.879987521416152,0.23743975691665,0.7565217971669,0.542841876740501,0.726353820971334,0.51792808752998,0.585010745144182,0.480040157611914,0.632166576332533,0.322118723246826,0.444512062262645,0.300300978294087,0.575439162259659,0.341055274865522,0.375262403205655,0.395282297508589,0.635326306449178
"MB-0010",0.743187728227327,0.466105568400868,0.830994610808111,0.905796388044019,0.670033621109847,0.65315478262235,0.661967571614579,0.223686505883308,0.394749079455589,0.833058845492657,0.550800245498687,0.696877853366681,0.813607846656626,0.513338160882463,0.700990719653325,0.309891487286277,0.813991061129532,0.801752147235328,0.374492837835385,0.537821096940245,0.208683950816965,0.711988034450558,0.669769197856666,0.610157958291749,0.600171761158146,0.745309666306785,0.789763290178262,0.676831559371461,0.412009756430633,0.125070534554209,0.104790897709949,0.563612274707425,0.289666423389503,0.309062155134096,0.626629081108394,0.395275893045466,0.489550098162687,0.260666885536007,0.102739974340839,0.58910191656291,0.461699902054494,0.332549918530089,0.424126871608524,0.659651211108447,0.588541556355931,0.768393587496136,0.41585363190908,0.635482502643559,0.701592123243536,0.557952440468729,0.638124416453054,0.418374322674447,0.817513776952959,0.29080974948146,0.887899634318639,0.775953874300046,0.700567943698098,0.607120191858953,0.7247438711082,0.602728929033604,0.646023787874142,0.394244957594008,0.652763731259987,0.404027230777286,0.581799179578361,0.155002298642667,0.629676471107441,0.271765694346553,0.637309912821558,0.487216612364888,0.507365262056571,0.450663260297049,0.583598214388494
"MB-0014",0.160134646296611,0.901506660709545,0.566895982298857,0.813148017782071,0.744601885060854,0.553131383851816,0.235800640956807,0.606652202867557,0.109025228948615,0.579483252663119,0.645964101771746,0.456021881362275,0.0865796920266779,0.148348361060958,0.354530921025837,0.476487154399802,0.333004939085245,0.394939898545542,0.107090656424978,0.645628799943532,0.418024196375871,0.244800868571043,0.215574008327883,0.645045953602396,0.953328080616233,0.325091017024174,0.560169161869592,0.876727299985029,0.476912508394629,0.146415877660272,0.12227814132684,0.440855364632609,0.194202866085813,0.344680512495148,0.199143525050646,0.471187988876716,0.783446012848267,0.355555766730855,0.36670309087768,0.827444284825046,0.117143167197206,0.358795580732174,0.201420198694245,0.996022205889792,0.510731820597994,0.696189626028104,0.546508177084907,0.398571993180493,0.595598741162365,0.199738863243823,0.760825166559057,0.914782702034288,0.609717295800839,0.0629254839964418,0.0772872558974549,0.158555711627028,0.360355788763821,0.479013384032225,0.937177302601714,0.971096779009707,0.482368971894485,0.284502501754215,0.401115007723265,0.170144105892262,0.430822295253687,0.502717580698031,0.314945914310972,0.399726914721133,0.48794170710455,0.516842052088122,0.636156966857025,0.27718569949073,0.304030298703095
"MB-0022",0.126868700180649,0.558265080409534,0.88433465602499,0.345869827364323,0.306434716979283,0.606098718053719,0.450202306859127,0.46427094753114,0.270870589365903,0.610006678735874,0.612317672917136,0.306767629073824,0.226926279028585,0.151741824460784,0.409838914003718,0.532226096191775,0.534589415840735,0.156716977555209,0.154326590606717,0.798363686969704,0.660672602854312,0.108592093380226,0.117620785655489,0.640633032546759,0.710268740775839,0.710963993955631,0.690065303680666,0.938829493175625,0.320738836604611,0.0383693525499489,0.0403750812455236,0.539582702222879,0.189718875523853,0.083922995570636,0.349204898911864,0.895565147276501,0.916729276270498,0.375169248865894,0.485540410763751,0.846481791361972,0.163818413729453,0.810788010811057,0.153537611924546,0.997327161244346,0.82563241266155,0.863813656113021,0.629536329600834,0.15044294695966,0.706318014886534,0.150246531507088,0.869582434807964,0.278375434042114,0.566373369185526,0.126117120970045,0.0624727912448361,0.454287793105934,0.288464927267459,0.233797483855482,0.931524219451842,0.985361240627906,0.565993277057555,0.47019669902337,0.596448352000287,0.222514663313674,0.455700075649202,0.432042719375804,0.181360058734953,0.517036075563145,0.543400063459899,0.398355640132376,0.549517476789599,0.357999561887939,0.307597569549317
"MB-0028",0.401814808584199,0.82901274260979,0.44448108098951,0.0702977049362206,0.619625136148264,0.501814167709656,0.465308125429983,0.806023958674858,0.810290664071308,0.686378931121176,0.207811274137461,0.530124309569937,0.535287226481264,0.573711889085713,0.656692596680529,0.588044902616987,0.715473237917799,0.212263380111764,0.40439365080117,0.269222144982655,0.25545919506221,0.363078777289428,0.43316419405212,0.917062717092814,0.440400941345637,0.462954021331036,0.958309043943767,0.385802154910455,0.689412970680174,0.403853555985139,0.741410832044871,0.992576684673561,0.888282807393229,0.685869772484115,0.0919733888261863,0.341358063692789,0.228326828187944,0.795499047509154,0.524376361618839,0.928241532464084,0.193945789639638,0.618334437188549,0.311157689873387,0.753679548867219,0.19736666462404,0.306069239985892,0.588692980022096,0.706549257763724,0.221762620705213,0.263202713908363,0.595782929736548,0.246014896519476,0.401297913727064,0.74590226059813,0.451993376162228,0.612495765525914,0.950184429559774,0.65539284947694,0.336872787177066,0.741484311186167,0.714578741972227,0.346638308910207,0.610057660821955,0.555865381300908,0.515288430109024,0.392389711211146,0.507555837306852,0.254460976896013,0.365181602857335,0.461986042920081,0.672866346328755,0.255624907003803,0.274421968922813
"MB-0035",0.924071300302785,0.593627895281782,0.961141748443082,0.30188430142173,0.580956046776427,0.429883374835437,0.696672223832356,0.0784518087749364,0.509416316947925,0.713159620026835,0.776847341887561,0.947701740101238,0.420948766120702,0.602834457148617,0.366539829620293,0.933351801721315,0.476999016082349,0.100910759596065,0.75813392269739,0.603194093564097,0.11363054552789,0.149372682382754,0.375724019138774,0.760860399979212,0.773386699216883,0.194155131333289,0.470677538293209,0.428724842024756,0.143401529723318,0.696069659769129,0.655317710008274,0.160674131842004,0.0445716976159983,0.647421730427356,0.623168767518825,0.185497000713314,0.322935000584291,0.270417302266145,0.654332192619631,0.142708478106132,0.530745955172076,0.934695770760666,0.0632816133578582,0.544734471438141,0.205236947597743,0.771336438820556,0.488634661390947,0.870019519093007,0.253252646612449,0.492991587663687,0.757644368151987,0.407150153964196,0.133407355889272,0.0491624564358664,0.636151732054843,0.418387587406674,0.623388606243037,0.699152371977997,0.53229858590833,0.6200466431731,0.48361141972075,0.159811449604417,0.665158690449846,0.525086427965095,0.369613430180833,0.358026848501284,0.722751887897983,0.769380358259089,0.503003094559604,0.517802491074947,0.372513876559329,0.122534985247316,0.453630515752408
