"","AKT","AMP_ATP","AMPK","APC","BAD","Bak","BAX","BCL2","Bcl_XL","beta_catenin","Caspase8","Caspase9","Cdc20","Cdh1","CHK1_2","COX412","CyclinA","E_cadherin","eEF2","eEF2K","ERK1_2","FADD","FOXO","GLUT1","GSH","GSK_3","HIF1","IKK","JNK","LDHA","MAX","Mdm2","Miz_1","mTOR","MXI1","MYC","NF1","NF_kB","p14ARF","p15","p21","p53","p70S6kab","p90RSK","PDK1","PHDs","PI3K","PKC","PTEN","Rheb","ROS","Slug","Snail","TAK1","TERT","TGFbeta","TNFalpha","TSC1_2","UbcH10","VHL","WNT","Rb","p27","CyclinB","CyclinD","CyclinE","Dsh","E2F","GLI","Raf","RAGS","Ras","RTK","Smad2_3_Smad4","TCF","VEGF"
"TCGA-A1-A0SB-01",0.361435065831196,0.306604495810523,0.619967130686743,0.909435764614412,0.317654816233989,0.245697993252909,0.419804450547078,0.632860519673764,0.267580784578866,0.98900751339851,0.454039985624371,0.483616277307654,0.330346425441488,0.725662433283253,0.538202014060253,0.216175994740722,0.311288797393392,0.792291316579069,0.972066491953639,0.624165499392846,0.685627329801721,0.250583331099535,0.389479488571412,0.250895909812384,0.232330800605279,0.292005756868261,0.709886779952889,0.491988739136563,0.840867127856825,0.111196932371507,0.278628578927415,0.621402517094257,0.742416879873937,0.723136684375323,0.652398008927767,0.882247540174075,0.779584851128938,0.65352516349543,0.32590298219161,0.0410115976102551,0.461510607064504,0.91831097756941,0.557137193192564,0.32278467127159,0.529367651408648,0.259812262884769,0.47524850705416,0.429914400058563,0.6702989074241,0.340350582614477,0,0.959538592776259,0.0108841637309967,0.717779756111588,0.737069153861815,0.0621491390608849,0.474189745707773,0.924112940690393,0.182908331087484,0.716648033018302,0.48987001730832,0.625133654218551,0.206941692476315,0.412917573870396,0.306183553042882,0.342292013065998,0.739269671562542,0.454315497616969,0.452640665802355,0.578848844278068,0.33313153124522,0.378085089740241,0.425798442829986,0.844533505206023,0.713628600062762,0.258855024956409
"TCGA-A1-A0SD-01",0.539522845259216,0.525188089197509,0.447983459792823,0.641296944944765,0.395822555016128,0.957317696405271,0.410987490784135,0.57067658172963,0.760045973208838,0.648161500700081,0.086364107768278,0.283838923189484,0.237692036504474,0.555608342790518,0.233239131524167,0.67721532872841,0.330170126649256,0.615850091170906,0.186743470889638,0.376412711130927,0.293737653024221,0.623064683858895,0.64938201499376,0.419125660908301,0.510778502763437,0.50740385810713,0.377890622882781,0.532661411270592,0.647282670293097,0.358011452440521,0.566395126680505,0.535844443099524,0.243250659021853,0.393413143376399,0.558713602449963,0.603897415066292,0.721293431524896,0.52098988003858,0.56509410104319,0.860433191134354,0.691010584551565,0.375284378325149,0.655863277298335,0.109634523435704,0.552188318059583,0.568690960290233,0.641139310053072,0.514610431509755,0.437159856295946,0.42049854747188,0.464709218168312,0.640525804322847,0.599585377173498,0.638553842537586,0.5,0.551420778792152,0.698685941058179,0.303969308224325,0.38102312659266,0.544556423472114,0.335774284403311,0.539816802524313,0.838759264661243,0.277162952040449,0.65800503968362,0.30942810977523,0.400237399243083,0.351914307712495,0.686722842396259,0.64747575650644,0.348331883246104,0.454681703686889,0.617553110317223,0.474701538779954,0.591803908244255,0.589434493157472
"TCGA-A1-A0SE-01",0.372873048391035,0.789569846815898,0.537668088330059,0.666942943535512,0.342527650036004,0.419733698209159,0.491773806706114,0.578597191719984,0.486173600463421,0.67769373771919,0.508532155065392,0.461334756011244,0.552002874589026,0.630797388451922,0.378884161714734,0.466851978436974,0.56545838198327,0.533896238763246,0.729410021674459,0.727184531108955,0.665568107863944,0.930115814681653,0.678654294856785,0.491408536948323,0.568084844650034,0.496435725257418,0.215771766420708,0.33321996606857,0.5602762823051,0.408573458748781,0.372039145322335,0.547442396811627,0.594219687708531,0.582833921048958,0.811407599350055,0.595327917510843,0.635676449636865,0.573484240632345,0.457692314604204,0.421680383581585,0.466332874895919,0.435895750108788,0.347436071955195,0.497028733056484,0.22508109197464,0.300414681343924,0.546870614582745,0.60708762872075,0.423471331521644,0.347081469854357,0,0.732440262724995,0.373256678853172,0.300643772095776,0.268387387224204,0.412435238551041,0.585908734394607,0.490641629638115,0.454459671716916,0.489177995073494,0.335261500144775,0.499554162219126,0.608531711867243,0.536075796009166,0.614434749051072,0.314354851940827,0.524117398374224,0.433301968070151,0.765428708201871,0.467190609233623,0.289217405822576,0.388226183731705,0.68366857103231,0.653391925312413,0.632524085652425,0.486197905907436
"TCGA-A1-A0SF-01",0.633918856025835,0.768449462985849,0.224456611634895,0.228231521946774,0.734645871140616,0.369363098699436,0.559796968135781,0.575293311292659,0.870618685234442,0.253170336372367,0.540488336818045,0.618235367111727,0.542415362374615,0.218977809780545,0.419157517698216,0.421722535601071,0.35322794711044,0.686441738592728,0.918418743305199,0.758549467532869,0.439458386531243,0.590991860089741,0.832496555991165,0.584593085158513,0.749371373021486,0.649325547760316,0.337792972274847,0.348507229480913,0.698937109007497,0.351757332773459,0.737481362775653,0.461117483227942,0.71865066662178,0.499509485255884,0.78905663154844,0.536151594490999,0.379922922147106,0.315619589272023,0.539957654602497,0.500079078614349,0.250317943131348,0.550458432559454,0.288381935359217,0.379595488480111,0.292543960235614,0.735760755656805,0.39406936269403,0.506091920809134,0.59426891325163,0.526557238036703,0,0.665403445719024,0.255627863344013,0.395487214748536,0.589635568074497,0.476235691461059,0.565599028016487,0.629390451294246,0.42916886354321,0.269226011803939,0.858025134811797,0.464185174970757,0.377044931663902,0.310528985771632,0.566483947587192,0.385959233802998,0.471981972511793,0.446395063603604,0.787407203227806,0.261914603185537,0.391368563576074,0.283425031982789,0.568111745964749,0.356353474058085,0.42068098264895,0.404408002990562
"TCGA-A1-A0SH-01",0.606350662565358,0.364327797570261,0.685116025475614,0.701660314324996,0.591010010912335,0.330668425845168,0.316166870616986,0.435007936594375,0.652215482108072,0.702731652204066,0.247466734075037,0.290021555395437,0.220993091507933,0.552362116871137,0.203850572386017,0.366088537924316,0.310529621248814,0.506706608465644,0.671868948681109,0.616655996443992,0.732335383926253,0.430500293300026,0.7327152812995,0.572896525426597,0.530182039609754,0.420877546836174,0.470931104925503,0.549023103628258,0.635094307684125,0.540581961180382,0.341575807199001,0.58518815014903,0.308083135809378,0.291623780013235,0.411291120885701,0.249717967741751,0.795255405414194,0.599968004706661,0.759037017107665,0.830482837664922,0.499413994752195,0.351355098919876,0.61185406390705,0.24525785348021,0.290709593880302,0.297382162695924,0.778632815932214,0.855054102262308,0.726394836171435,0.278177260238417,0.346538209263727,0.902088126847719,0.446130437860324,0.637396814426215,0.204980042255742,0.683240419638569,0.858362618827624,0.278263934834111,0.18874444511428,0.572001025604612,0.232114610581841,0.513742814612676,0.363627413001747,0.246939486083938,0.574014126493619,0.252840084726313,0.56639503898532,0.256433017498887,0.736533807501208,0.441324596564877,0.356312147803045,0.556456875935979,0.643597182186305,0.600624051792976,0.760828611173351,0.512435622521449
"TCGA-A1-A0SI-01",0.772417139673312,0.46883458018023,0.724317483441544,0.498917604030132,0.593664778593749,0.729298375338013,0.617611876924977,0.199729987385286,0.752980863549071,0.646905372719015,0.677502052004824,0.709137468584242,0.654879416746617,0.594094864224157,0.786513691497863,0.480600726753106,0.403592081242984,0.524673730751324,0.311955587624136,0.68785181760317,0.552261433273482,0.498086630094343,0.578847377328954,0.49453281511535,0.602021190990269,0.383540349555826,0.521177399526339,0.515730785786742,0.594153218260695,0.5368434130297,0.449460162172755,0.27067633452538,0.824210041522923,0.672889253589657,0.15276111593292,0.156055810878131,0.344703944897935,0.534320815486372,0.910292246118134,0.723856437543566,0.589691374829394,0.542939443991807,0.279818154154098,0.441555883045222,0.526306637571805,0.426092482194084,0.661261741044033,0.620462913875789,0.759830846967985,0.47647134235856,0,0.729908130006896,0.731020107435988,0.648115823419059,0.261979437045095,0.614643717665953,0.465570826754497,0.729763706729089,0.611136511983789,0.522419012716574,0.727360948301242,0.167083694820932,0.381149389425374,0.472226822631395,0.45322451549496,0.708225032091359,0.660511552493733,0.53664382571209,0.707481515543981,0.59545710121733,0.245617663633375,0.517568653220584,0.535454380191926,0.2786415630552,0.698297541061265,0.567202422014113
"TCGA-A1-A0SJ-01",0.601576667074254,0.534321398957335,0.788338823212941,0.617750431371258,0.313583052028111,0.206269784717407,0.409236326080662,0.68922322168193,0.837641625042741,0.505979161528591,0.105855366311506,0.548445921817789,0.607561355969444,0.430374199010058,0.417990109014407,0.586926273695124,0.639306283156741,0.939228893751284,0.277960253529052,0.589940418930025,0.951525327158503,0.852181962487356,0.780249887582912,0.841691765530448,0.626934083132573,0.539918199873885,0.546774057046184,0.303673129489399,0.390279198032761,0.383425218308599,0.214465554207749,0.998249542988647,0.347806305697572,0.692318200417094,0.437095841512322,0.496189720373607,0.797831841621383,0.398887122814995,0.557039332902999,0.503929584906329,0.534068570219642,0.289243286222607,0.816870368814691,0.22065676876103,0.394781510238627,0.433834487370609,0.725343776975027,0.405927582481905,0.478752498612433,0.653676244744439,0.212852999876084,0.481096602722497,0.266950099199582,0.630525065858132,0.789738115036854,0.745135566384534,0.813139970340856,0.571698726600932,0.738686388859464,0.144267403642632,0.6048366766871,0.755623531100964,0.718111792743932,0.590985960236547,0.745603296970749,0.501436769048698,0.526291704015478,0.524253121134161,0.534600303226935,0.384197312995878,0.194889856553682,0.605852419440627,0.567298409630286,0.633933014294929,0.447838529674048,0.543900059120123
"TCGA-A1-A0SK-01",0.306451357245828,0.609392950754828,0.489674542493081,0.428244629086791,0.589755309688749,0.398005479539888,0.435532161364106,0.795596620428402,0.238606916009263,0.176756355499721,0.0115706793835701,0.18066109430701,0.836656194524068,0.874735211402358,0.961081151142108,0.240267079382659,0.844077899410209,0.14159151977609,0.609846539031706,0.414471054338319,0.75435204669166,0.15752851838307,0.0905570188640101,0.914726109267162,0.384396070841365,0.856588302003836,0.648138885861308,0.648800464297015,0.89633836223648,0.671092330425531,0.208701452790924,0.521884436518915,0.665306665556018,0.897903000452779,0.905508360707992,0.815159443530048,0.589682961666029,0.0757183441648383,0.914415405889087,0.250168619879156,0.868193268164542,0.961043665213462,0.189842225470941,0.414447888851238,0.962449029647409,0.510336472533417,0.252250555942931,0.774711398031073,0.114876233107186,0.909578312189549,0.580226933659483,0.143705501134883,0.412849298796763,0.785022799405936,0.99799685585524,0.0968761645457216,0.5296233086444,0.296852267991944,0.847843375104074,0.630619032244648,0.71094212406118,0.00150241868553559,0.943213944661042,0.775826812200597,0.249598372557617,0.949611081161113,0.821499456806019,0.829810814223883,0.485421051187002,0.357786984931339,0.216421468252493,0.646076124218565,0.419792806200528,0.94733747256199,0.434938891300208,0.438928611563094
"TCGA-A1-A0SM-01",0.746048007384606,0.268240769905731,0.626499805225514,0.584999405198177,0.552669502628244,0.478541184960839,0.414071951963879,0.168211861041643,0.700075670418647,0.424472219876037,0.271308267630374,0.144170684798985,0.586678253528493,0.267590685694617,0.381581240757349,0.560009416509647,0.425013628018767,0.325276643961422,0.701866864098698,0.492417928426937,0.621999288866864,0.896979862963416,0.714263470524009,0.741862234065664,0.352114308411655,0.420741441625387,0.654447092667557,0.531895022870474,0.361304523914196,0.784470519940434,0.198021632422317,0.504382339784825,0.378772773570031,0.151569523778049,0.216259004572545,0.16823056710766,0.321800119410462,0.387108888159089,0.487902074764708,0.698082533382305,0.822863575778005,0.288599251882724,0.856967712951663,0.18042194651313,0.328739821000664,0.407689853457977,0.390831940600768,0.67721532872841,0.736518239854766,0.49661837135794,0.488460938689384,0.6427644804054,0.643561115993051,0.572350156352583,0.414983750129035,0.636469909426882,0.718638221063599,0.394735304537375,0.545409671509108,0.315931221531115,0.232114610581841,0.728924649872661,0.78128976539352,0.399889825128686,0.689020818769759,0.543702226774012,0.618375277215305,0.416461506242105,0.510473412297006,0.321156914276065,0.452234011108214,0.694246844778274,0.540357662058542,0.60313007266211,0.567104723784202,0.497033341332166
"TCGA-A1-A0SN-01",0.763275351962617,0.73236791523844,0.46947171223797,0.818843534208696,0.769194938155608,0.241326346029246,0.536375600850724,0.236786013887362,0.660225255286533,0.616314803692184,0.495101590294375,0.725929159265317,0.594327857934417,0.197729480179851,0.55390583243506,0.488035927751035,0.578944829094275,0.563076983503294,0.81407627691527,0.074468776521268,0.427771437028499,0.835675489942901,0.574148020661212,0.422437392330547,0.419275840157342,0.588779582701943,0.835546247406646,0.468064902730871,0.42856739282827,0.63412911715597,0.488701073666689,0.716965202590772,0.366903170905674,0.492978948849341,0.183840987565606,0.40182904807241,0.500367406754456,0.391412353768802,0.555524698134571,0.662040868774738,0.756855149071206,0.62471659154768,0.999977882310874,0.2421606190817,0.302923075904916,0.355991101241308,0.476209251674049,0.853157765907783,0.438829177620511,0.119533737153091,0.107837252780136,0.710688126774499,0.453667175436104,0.373608493987826,0.992536149916401,0.689518047368331,0.607032728000686,0.6228932962962,0.555985050376498,0.492187551577964,0.904276502927846,0.552765759084427,0.66653926940332,0.617081194037641,0.593072924167094,0.740260411406773,0.455760107788403,0.596850698681061,0.672077263665339,0.351062391833357,0.25337155431474,0.662713907517491,0.535490469341378,0.542871887967193,0.429208806657989,0.446840219497216
