"","AKT","AMP_ATP","AMPK","APC","BAD","Bak","BAX","BCL2","Bcl_XL","beta_catenin","Caspase8","Caspase9","Cdc20","Cdh1","CHK1_2","COX412","CyclinA","E_cadherin","eEF2","eEF2K","ERK1_2","FADD","FOXO","GLUT1","GSH","GSK_3","HIF1","IKK","JNK","LDHA","MAX","Mdm2","Miz_1","mTOR","MXI1","MYC","NF1","NF_kB","p14ARF","p15","p21","p53","p70S6kab","p90RSK","PDK1","PHDs","PI3K","PKC","PTEN","Rheb","ROS","Slug","Snail","TAK1","TERT","TGFbeta","TNFalpha","TSC1_2","UbcH10","VHL","WNT","Rb","p27","CyclinB","CyclinD","CyclinE","Dsh","E2F","GLI","Raf","RAGS","Ras","RTK","Smad2_3_Smad4","TCF","VEGF"
"TCGA-A1-A0SB-01",0.692216625287113,0.154220311593889,0.167760589038905,0.913761663478549,0.446417395403097,0.657992710891004,0.875657371915567,0.63536292016238,0.505138926414098,0.977459608272758,0.485330385978999,0.430809417219123,0.886599802981247,0.725918762444375,0.958987350383942,0.112923495147413,0.898671870328302,0.891345596022734,0.981214747871012,0.287412700879417,0.727233109130545,0.506592571420307,0.0209837858309735,0.545896967299968,0.440553906246974,0.807093994981226,0.951558592712593,0.492001534996623,0.817403780807242,0.151881997432763,0.204372220839632,0.75779875529016,0.862708645575175,0.765755695857956,0.170984682802158,0.797265430018092,0.823033362928892,0.647441750716014,0.61597218008645,0.151882643294553,0.380696659973825,0.973915074259717,0.464393303847988,0.571076830866483,0.415482496459666,0.35411704410553,0.170642662579355,0.0162075014553546,0.36533037220641,0.352253276811026,0,0.918830564184211,0.0188615699693597,0.732780845986928,0.440200273406546,0.15898699108329,0.319619548877782,0.978395388868818,0.837684698227497,0.773594072418195,0.25710244249464,0.617948416437765,0.0631756907418942,0.91636958069302,0.325501167446162,0.893086703469337,0.883822132589131,0.78849106920567,0.176831067495154,0.630823831727348,0.0426879228421255,0.567923848063618,0.393074109089384,0.840883551888894,0.598990083129259,0.070041169051569
"TCGA-A1-A0SD-01",0.91023813110524,0.51903937579888,0.0429552325196937,0.35079820460255,0.573318023873587,0.999276276491453,0.870075420743359,0.39428849754678,0.975163857231026,0.460185064019203,0.00838824439523539,0.196200655006595,0.822571074925105,0.404426832232126,0.494183827293805,0.440551724901537,0.908710256977076,0.729740188385994,0.032059942416142,0.0541071303409782,0.0208247649937331,0.924376826576051,0.0816160804531422,0.794619529038922,0.863641894706352,0.962769207829136,0.271914646068389,0.562157434423959,0.570431367068551,0.544128252594897,0.750148739344705,0.656493920816661,0.30220567616012,0.155014523318014,0.093061151410124,0.219799139743506,0.736455211357042,0.267763906383684,0.85273141784932,0.636854716060789,0.57477439670133,0.360358323548589,0.636925513210696,0.267944590898632,0.45316557723649,0.818892803605593,0.302785012026216,0.0324273078995032,0.151731449365298,0.503018213846289,0.464709218168312,0.32750405285691,0.581640579167303,0.55485820978662,0.250046168451354,0.825729940054665,0.557047179119352,0.203549687079136,0.936344248030435,0.594631221753745,0.146232791349201,0.322975674899639,0.982106883421754,0.629025544521102,0.466701512254835,0.849264946822579,0.476998924211635,0.669927520393853,0.474539219789876,0.735497532392345,0.0613947137833181,0.698648098085693,0.473268605729895,0.243983851222949,0.175160214454773,0.36935857733961
"TCGA-A1-A0SE-01",0.713492661363382,0.920194918172692,0.088693429686647,0.396518493281246,0.488247938495923,0.869218921916631,0.91330534897631,0.423956131553499,0.835977156957005,0.493503549284892,0.602273004602091,0.402222353995364,0.956862167656769,0.544913511863694,0.835016822898167,0.264315024114829,0.973161072363302,0.636991335455125,0.550923040850959,0.501270331387312,0.671222661106341,0.996784141477603,0.0957448018352033,0.85787079624704,0.903317709174672,0.959509888639409,0.0377863865781429,0.235567103885587,0.466148954379527,0.610343747177958,0.378488677120939,0.671097827333545,0.733464208248196,0.472749363626187,0.473181689015843,0.209831952914911,0.595003060426294,0.405073347101707,0.767795496168638,0.396966454955767,0.384459460373767,0.446866136643333,0.167763493134845,0.727481526421454,0.0690171838628053,0.43055986606596,0.220048189579139,0.0684558076150253,0.14320585839507,0.36475390491818,0,0.45075893861163,0.383700581298683,0.0553118470138568,0.0650519716343471,0.718613721448567,0.429013513350748,0.466625556859701,0.95265317679335,0.533099470304329,0.145918294391496,0.214119549081679,0.785861636448361,0.897401884908114,0.445600141885828,0.857747249505432,0.654639333931477,0.713545844888964,0.698988126377025,0.382032372940662,0.0153000129879916,0.566776986358769,0.547815656910796,0.345806055282842,0.166940740035204,0.1919991630711
"TCGA-A1-A0SF-01",0.957919239161707,0.90087086212761,0.00486012059840349,0.0236984848145338,0.920491038190586,0.827223397590034,0.938962194076495,0.411483649852571,0.992921493345364,0.133533910755514,0.666590014486852,0.608761913663773,0.955005505705215,0.0430090427355359,0.882764718298752,0.233628067309475,0.919422666953313,0.801027387693226,0.908933617513654,0.579878657340501,0.118961947930333,0.908451327668132,0.249098401837161,0.914543599432066,0.973845281415415,0.988105940465773,0.185187503137414,0.257432824827561,0.635014436796119,0.535515498351885,0.933676315860215,0.556801586008951,0.844313411555369,0.309040079215054,0.4120366365638,0.151195785958882,0.210483032657813,0.0287225868119653,0.835366158584192,0.432173825981567,0.220797872788544,0.609629460793168,0.112583796719924,0.628203115460062,0.117937865522651,0.937061380403908,0.125079336546264,0.0302701934498344,0.278767582695016,0.687843735253926,0,0.357549232099257,0.278164601017251,0.126837533426172,0.316910447521704,0.772598672913968,0.407915715500133,0.678833341600038,0.947625624815188,0.279780001404863,0.722191531245748,0.142809140493303,0.3073963045377,0.647356485818656,0.384552483712427,0.927666405233971,0.597341492012782,0.744297149845559,0.734290051316393,0.136846906765237,0.169867382651441,0.406119692650742,0.449458687180027,0.0742554104592,0.0821337232504819,0.226860134808882
"TCGA-A1-A0SH-01",0.946991809733191,0.231687547297502,0.272483529242299,0.46439600139628,0.814189549393931,0.786101949406347,0.791068498106779,0.0759940106703232,0.941838562741262,0.523080128253397,0.112050345289094,0.202548050533702,0.80630801732978,0.398692506913998,0.393996527679691,0.198215480624598,0.898241374238187,0.604114157421248,0.450446815533248,0.274975441524911,0.837769221065733,0.784261660286821,0.130408028831305,0.908656967638563,0.878337307879055,0.928147388018195,0.52542183230298,0.590001602495571,0.555453722442676,0.754853211580944,0.317791838204967,0.716783278460229,0.391865035005427,0.0668837238379699,0.0345126490717659,0.0221708925801392,0.844193260779918,0.483972036752386,0.94814351413001,0.612122369303739,0.410527619804986,0.326962582817979,0.559719527426502,0.480204006100351,0.116404261141305,0.424912944587952,0.477700834864861,0.54541815419637,0.443209368082309,0.242189622237793,0.346538209263727,0.78201265112562,0.447502445614324,0.55217930034893,0,0.898064481198064,0.773979284448272,0.173916227243814,0.84304280797725,0.624521599182754,0.0888185938126668,0.249133164449595,0.280659106089967,0.629925413411084,0.506726780351121,0.775245858101061,0.561173438895118,0.562567637119179,0.624564861634008,0.365751990612732,0.0743714071361608,0.755501471908695,0.482671777258912,0.402713185273424,0.416324936769787,0.313258010292318
"TCGA-A1-A0SI-01",0.989208611293597,0.410615339984945,0.359777426400976,0.164530752307326,0.816662116867906,0.980872142525529,0.955406734744651,0.00115104164611458,0.973544738377358,0.458803856756191,0.87545990351543,0.727211788732164,0.973172827695744,0.474802506183801,0.997192670983258,0.274058008227567,0.938195380523998,0.625948032436243,0.082423914897096,0.410437875618148,0.336025208749875,0.847161908226448,0.0563269401924361,0.860176217291466,0.92201855935312,0.904596149020797,0.66237471996441,0.533056476918257,0.505992416197661,0.751302651747987,0.537679225672207,0.280491517302474,0.919182934847484,0.666138368377327,0.00322529230204392,0.0084953971189713,0.172108026968021,0.299599565122112,0.988166998438292,0.542197545513159,0.484531422616639,0.599243840818663,0.105641243145502,0.683338370187379,0.410511056832415,0.64411658201431,0.323738564068795,0.0763485853718501,0.496209159819734,0.604625318823822,0,0.446885588439976,0.700333799574824,0.577006269720705,0.0589853723640219,0.863299116045345,0.311825132724285,0.813050594060858,0.97488849271902,0.570216916724553,0.514745176456154,0.00103777868775186,0.315772658843092,0.677801319099324,0.160248374551697,0.994610551756787,0.701328430320992,0.703405270909987,0.591449555570086,0.658972705521358,0.00564902641064301,0.752771710186439,0.416912220389092,0.0159275429549801,0.259531667178671,0.378040101250188
"TCGA-A1-A0SJ-01",0.944879154083018,0.536757495982122,0.54348816458426,0.312237690311495,0.439467049790639,0.575271549894195,0.868937410083172,0.819050288907238,0.988955118657346,0.320212478842483,0.0135917160460762,0.515880050962813,0.966409396919965,0.213848146790066,0.881586087779908,0.356879483183296,0.98205238053034,0.98012575307032,0.0660015139925654,0.234151862605827,0.999381033919738,0.988337553602708,0.1747717264137,0.98780977794285,0.933837756003954,0.971032061200496,0.724421065028941,0.195777631776897,0.283601669100362,0.578172951547447,0.113120355960978,0.999911870331231,0.445344948524967,0.706040326803872,0.0413326007421138,0.12022187142775,0.847573116612766,0.0791214154011348,0.847317794941397,0.433909546308888,0.438382270224619,0.243905768586583,0.881300955202,0.447525062635013,0.222514220482409,0.655574671235022,0.400263632106577,0.013235344719721,0.179838585988491,0.852405290411177,0.212852999876084,0.180417042256722,0.28854403234629,0.536286583625335,0.494169423162301,0.924935439894813,0.707973505611218,0.592374408858672,0.986168157332071,0.13849412743447,0.365850774133981,0.932379160421935,0.917316765973321,0.824527768245824,0.621809148811612,0.971828914237601,0.671763517953316,0.824782455510597,0.255870233162976,0.323211373506402,0.00172413300518466,0.890731767050122,0.434834721629708,0.418939239144807,0.0928014468550132,0.282912578633043
"TCGA-A1-A0SK-01",0.573936541820873,0.677684862697382,0.060465174445692,0.107568430099974,0.813013781060044,0.852501026067646,0.885032336435701,0.97444360547373,0.44061634792373,0.0885430247666135,9.13709026153103e-05,0.101390342722459,0.99118416452466,0.939186474049501,0.99996864723024,0.125835317819705,0.995885084368388,0.127630953117348,0.355533781154909,0.0721748716142645,0.878503909257594,0.294314671953398,0.00179455705610764,0.995780682783396,0.727194572913355,0.998830963561631,0.897536506488606,0.747592520037672,0.887431526597351,0.86095969728215,0.106311488624042,0.638582530770591,0.799779641217171,0.975747920622594,0.787992135156231,0.620524445061428,0.517072823676602,0.000186645883726998,0.98892493406742,0.314970544820334,0.766528505574538,0.991381838211025,0.047697973077215,0.660042718524471,0.992447228724266,0.756571024310042,0.0649542324849398,0.280315486767282,0.0199511340811079,0.99185225124363,0.580226933659483,0.0268331801990895,0.418443688268823,0.857104260292512,1,0.243327729248305,0.371899270000953,0.195142209740476,0.993101488408494,0.686786174072554,0.492467326723969,4.38114299615157e-11,0.998648740665855,0.97430555583983,0.138269875294943,0.999853737353202,0.938601664340879,0.874197549444196,0.141750353523412,0.232318817662511,0.00287776279215219,0.66602452016211,0.309088712598749,0.979607967706931,0.274362020736735,0.344809201195758
"TCGA-A1-A0SM-01",0.985504597276365,0.112491901688606,0.17628389464798,0.263981668276782,0.776144525245809,0.905839103325061,0.872055957865991,0.000519084644879312,0.959083819775635,0.252637810339755,0.141755321713965,0.0733638414459986,0.963046255126404,0.0677663351879881,0.838710342139993,0.334525186555462,0.944671954869062,0.36653085734384,0.501448195719229,0.125046432653621,0.539738104422494,0.993810492909183,0.117070752012465,0.969465425561809,0.678461212012504,0.928073240788621,0.90457664419917,0.560845539721963,0.255658886891173,0.928100283597377,0.09431687405059,0.615636206607668,0.485959969245321,0.0125962813082574,0.00683488066026528,0.00984145740292634,0.149450692135256,0.0691977302965432,0.794672423447068,0.527869441637033,0.711344573137613,0.243079041365189,0.924518554675357,0.389178265313763,0.15063234698657,0.615993456484154,0.123454696393038,0.122074785680018,0.458708998649838,0.639158099227184,0.488460938689384,0.330115604713993,0.6207078146511,0.406016408377322,0.186697739338735,0.874984862675353,0.581755254917584,0.322913080578989,0.967057123349713,0.333931103541449,0.0888185938126668,0.894645660894623,0.959441108410848,0.663725218951807,0.4846086039966,0.97993762275509,0.803989412278539,0.725165980984824,0.189385476779041,0.182066312632142,0.446854942881439,0.929981836783118,0.428016444028627,0.310043799302064,0.259085814100906,0.36621405685506
"TCGA-A1-A0SN-01",0.988014373151399,0.862099857009197,0.0512961010853972,0.727890778422537,0.93855238446236,0.649646502748693,0.931005361629267,0.00262105067475787,0.945039399566483,0.426030597799683,0.574070703855064,0.748301391732878,0.96430761881968,0.0343391640288617,0.964489525172647,0.279409253011157,0.975012331383588,0.671159121498957,0.714183810186616,0.00116922414853043,0.105171054500109,0.985870372955012,0.0549771711587847,0.797976370140884,0.772917884884034,0.980314793129851,0.993667053666313,0.450679212070606,0.321998035970136,0.834271223531893,0.615173551085068,0.851771032486022,0.470514685084063,0.29762672528635,0.00477882790092471,0.0676214349598742,0.372685092917238,0.0726944373354573,0.846284156059018,0.50887402827928,0.639458385100377,0.707944229586175,0.999999978477632,0.476203513567845,0.126837245168491,0.530710186988009,0.171242906781991,0.537541642931132,0.152794706681571,0.0455906335014985,0.107837252780136,0.418423772807746,0.454071872915242,0.106282641642005,1,0.900971891024558,0.451564832459179,0.669347984786036,0.968438264914642,0.536480909598442,0.809229462981609,0.363826374613589,0.865675379860633,0.735703993009482,0.403929432357604,0.993572404100069,0.518154698196216,0.766101638844372,0.498696633989783,0.208344170955069,0.00674390665374613,0.821276862585538,0.397772065714422,0.336794426982393,0.127798103654019,0.225293494233392
