"","AKT","AMP_ATP","AMPK","APC","BAD","Bak","BAX","BCL2","Bcl_XL","beta_catenin","Caspase8","Caspase9","Cdc20","Cdh1","CHK1_2","COX412","CyclinA","E_cadherin","eEF2","eEF2K","ERK1_2","FADD","FOXO","GLUT1","GSH","GSK_3","HIF1","IKK","JNK","LDHA","MAX","Mdm2","Miz_1","mTOR","MXI1","MYC","NF1","NF_kB","p14ARF","p15","p21","p53","p70S6kab","p90RSK","PDK1","PHDs","PI3K","PKC","PTEN","Rheb","ROS","Slug","Snail","TAK1","TERT","TGFbeta","TNFalpha","TSC1_2","UbcH10","VHL","WNT","Rb","p27","CyclinB","CyclinD","CyclinE","Dsh","E2F","GLI","Raf","RAGS","Ras","RTK","Smad2_3_Smad4","TCF","VEGF"
"TCGA-A1-A0SF-01",0.569038502851767,0.768449462985849,0.532279209616131,0.228231521946774,0.620067536479416,0.340926733610212,0.375960159066626,0.62667380882407,0.513936557829088,0.676068188025414,0.39132152352001,NA,0.542415362374615,0.218977809780545,0.30007500356422,0.421722535601071,0.35322794711044,0.760823706086863,0.458120904582372,0.824117735721769,0.503916609769269,0.590991860089741,0.832496555991165,0.584593085158513,0.749371373021486,0.616179623145394,0.337792972274847,0.348507229480913,0.905466360482503,0.351757332773459,0.737481362775653,0.461117483227942,0.71865066662178,0.687990678157443,0.78905663154844,0.717733242369817,0.379922922147106,0.569367831244166,0.539114457389366,0.500079078614349,0.326597687041031,0.217546773752068,0.220956416354013,0.35054906545553,0.458009680057129,0.735760755656805,0.666826786934189,0.68424851761589,0.516509798744464,0.526557238036703,0,0.665403445719024,0.308031514578959,0.395487214748536,0.589635568074497,0.476235691461059,0.565599028016487,0.635898676004508,0.42916886354321,0.269226011803939,0.858025134811797,0.63930203158648,0.426935582185767,0.273388087714121,0.521043581532976,0.389170392139272,0.46800652152521,0.446395063603604,0.787407203227806,0.444883809201408,0.391368563576074,0.314056069703549,0.57307021210574,0.405022947669988,0.42068098264895,0.404408002990562
"TCGA-A1-A0SH-01",0.698620368213488,0.364327797570261,0.67721532872841,0.701660314324996,0.74935345141556,0.431691241562351,0.403960732420408,0.499218858089266,0.167159199173449,0.609840967875694,0.40157735184893,NA,0.220993091507933,0.552362116871137,0.50043723037748,0.366088537924316,0.310529621248814,0.548590994111501,0.711177991671395,0.581552075871117,0.700256703788984,0.430500293300026,0.7327152812995,0.572896525426597,0.530182039609754,0.741389611748256,0.470931104925503,0.549023103628258,0.950924699922042,0.540581961180382,0.341575807199001,0.58518815014903,0.308083135809378,0.459029756498001,0.411291120885701,0.328387298194941,0.795255405414194,0.643736459229322,0.739916224887601,0.830482837664922,0.759467319464118,0.560432639697387,0.604675682940479,0.561810052622668,0.446546872749798,0.297382162695924,0.752428128142031,0.737055005269854,0.780031277901992,0.278177260238417,0.346538209263727,0.902088126847719,0.385583514398089,0.637396814426215,0.204980042255742,0.683240419638569,0.858362618827624,0.529209712101263,0.18874444511428,0.572001025604612,0.232114610581841,0.642555943606204,0.335310664195448,0.233267112397515,0.554434261587221,0.346017482901463,0.55762562353938,0.256433017498887,0.736533807501208,0.533135036897501,0.356312147803045,0.460507813347436,0.613696777590363,0.519632602950622,0.760828611173351,0.512435622521449
"TCGA-A1-A0SJ-01",0.39865150682181,0.534321398957335,0.363516955711141,0.617750431371258,0.652589077799546,0.186501030472876,0.403280269337342,0.846412497847783,0.606206319158075,0.323339698629113,0.201182345818361,NA,0.607561355969444,0.430374199010058,0.194701109523427,0.586926273695124,0.639306283156741,0.58158924517039,0.403851042299355,0.533624884416526,0.411448264698432,0.852181962487356,0.780249887582912,0.841691765530448,0.626934083132573,0.567511312157768,0.546774057046184,0.303673129489399,0.320332801198528,0.383425218308599,0.214465554207749,0.998249542988647,0.347806305697572,0.466834366747803,0.437095841512322,0.520771870338724,0.797831841621383,0.60367995086266,0.457898073284232,0.503929584906329,0.491130744709367,0.242654118952139,0.63788276369551,0.253131192200385,0.841326257659217,0.433834487370609,0.797106324630061,0.502966891472435,0.338146079093886,0.653676244744439,0.212852999876084,0.481096602722497,0.273316802224034,0.630525065858132,0.789738115036854,0.745135566384534,0.813139970340856,0.386312939229636,0.738686388859464,0.144267403642632,0.6048366766871,0.300373677521502,0.604152571073264,0.585196594541837,0.709554238844396,0.61934574746283,0.531110510951742,0.524253121134161,0.534600303226935,0.464439670096741,0.194889856553682,0.603597959934,0.583333426047059,0.574098419167528,0.447838529674048,0.543900059120123
"TCGA-A1-A0SK-01",0.265791434520161,0.609392950754828,0.402028017098651,0.428244629086791,0.139270403672552,0.495120896615122,0.427201427160391,0.908923816695242,0.423627794849984,0.32232050218954,0.133163302465452,NA,0.836656194524068,0.874735211402358,0.881008944042695,0.240267079382659,0.844077899410209,0.235043519006566,0.598723109271287,0.145229425197999,0.254735047845874,0.15752851838307,0.0905570188640101,0.914726109267162,0.384396070841365,0.317718127084054,0.648138885861308,0.648800464297015,0.307638310598229,0.671092330425531,0.208701452790924,0.521884436518915,0.665306665556018,0.23678628782163,0.905508360707992,0.575437373356446,0.589682961666029,0.54093711520396,0.882858383099449,0.250168619879156,0.56293375221803,0.9706282127772,0.177316547490845,0.36564601289786,0.0621374221370195,0.510336472533417,0.61609519336399,0.407245812109087,0.35382044614957,0.909578312189549,0.580226933659483,0.143705501134883,0.617337855037447,0.785022799405936,0.99799685585524,0.0968761645457216,0.5296233086444,0.270466932141301,0.847843375104074,0.630619032244648,0.71094212406118,0.358344577563072,0.987099327979068,0.794102880789376,0.373958221656209,0.99865820750574,0.780371192743126,0.829810814223883,0.485421051187002,0.379248148300453,0.216421468252493,0.839481970584962,0.454299779840106,0.887026597419021,0.434938891300208,0.438928611563094
"TCGA-A1-A0SQ-01",0.319585447980644,0.587988759369762,0.928831404392337,0.566662129973598,0.724415823357809,0.499410199824466,0.045486056105622,0.835199339503709,0.735293216649372,0.777497760358981,0.802681683757216,NA,0.407586335618959,0.624079841996831,0.617254718871813,0.842501980185942,0.362274574969702,0.682426017456263,0.210334186228337,0.806827137632721,0.72310084540436,0.929571636998271,0.129246951466917,0.740031879524446,0.54150269386975,0.558879099047605,0.232851315932321,0.553250657754368,0.752812452454486,0.245659920253868,0.202821508221912,0.618263667540698,0.618170022724569,0.823694658287353,0.534472202409458,0.607833193836198,0.542858849645369,0.472977513603146,0.318919517947729,0.295685529848626,0.421898369931135,0.573627386755036,0.191907279000119,0.717657472298722,0.643119544133814,0.9087083220086,0.250250014001409,0.190365637190329,0.762425593365656,0.230378197160462,0.428111321618365,0.225371455524485,0.84608046793009,0.464196603172862,0.503324815336138,0.188693623586415,0.38977468515206,0.684346545164178,0.548126362872382,0.339427397426169,0.557427291329527,0.739452065355084,0.872671889238825,0.299492223459198,0.482670335067185,0.326425666324792,0.534660852581098,0.366267034069228,0.358069072751536,0.480973349462371,0.27838305333754,0.447007526619771,0.565729975534825,0.479903145932541,0.267752959291992,0.637530426937751
"TCGA-A2-A04N-01",0.643796748371235,0.556162934006598,0.336332499668469,0.403091331442494,0.658739641439888,0.299435646598825,0.563893187551401,0.456299704135267,0.21642844981302,0.313238156036768,0.5,NA,0.361497041803836,0.317016993764173,0.407839683051291,0.476658738691537,0.256277262444602,0.432258099388731,0.319407221873932,0.352415675651925,0.868048945074334,0.485685814320066,0.582633268016824,0.532736040733667,0.670820032528388,0.490227139245905,0.383007310664989,0.316660547934096,0.930257655583645,0.583884442164388,0.645589651992088,0.557815785426419,0.618955481495092,0.308200941992243,0.608496439661251,0.648184400223615,0.385910479566892,0.712872365987773,0.642035115692141,0.606207546635602,0.864419128742091,0.529015251124523,0.738803976661104,0.409838321344115,0.706674984049048,0.447602771686006,0.401351156301454,0.838409167662115,0.403909753145628,0.462827019214987,0,0.624582003873819,0.559330123640907,0.424856446288404,0.572130042379031,0.513110066505367,0.585326048268247,0.279271092811336,0.292729825979829,0.590948593434128,0.625360850542719,0.384059234474701,0.42443200735404,0.286604518516013,0.47485062660967,0.303859546553158,0.633017855135598,0.378603825579249,0.561348166106846,0.697268605782488,0.262161554121772,0.460101671481837,0.507029090406143,0.410817187003277,0.676053883675066,0.505760519677487
"TCGA-A2-A04P-01",0.87660911537819,0.272073491123909,0.665412078391634,0.134691737861447,0.651878166199664,0.356954874699165,0.32945061909371,0.194275505527245,0.121069798795714,0.631580260629721,0.187263359059483,NA,0.847644369725902,0.0393900287707391,0.404545501443452,0.662119808793466,0.742606084509669,0.59134345719833,0.337584905214682,0.140444879753007,0.20217680780727,0.672199506777097,0.395443029669767,0.455365054143605,0.186465055034311,0.568458787937082,0.756480008814566,0.104163032879036,0.233928423886509,0.671827676452101,0.497196991627815,0.0558926574520771,0.678721843731227,0.802736666675252,0.333837375077385,0.832145374825395,0.105664947141473,0.675362747449513,0.858819772256585,0.749282454393608,0.102639776891387,0.47431245466039,0.425331906088314,0.581421836616824,0.156118228945306,0.529789355483812,0.999999982072613,0.358737999062246,0.917832667709709,0.635877240668353,0.363813927091725,0.327079474039705,0.487987726920203,0.297278544102632,0.302054906956354,0.429837814097241,0.908479414721315,0.556100460046308,0.779158797677692,0.206649449727021,0.521005872483915,0.111911789649747,0.337611214315247,0.618345567915279,0.437774083721873,0.673654790895217,0.607162337736144,0.48847277628339,0.54199604339971,0.337417383082082,0.132737951381065,0.741074961697809,0.491167085201304,0.15401226150547,0.603809034278395,0.614646114618513
"TCGA-A2-A04Q-01",0.36731795156034,0.192806984553556,0.241606448904978,0.132701325195376,0.333886458968196,0.430150967177834,0.527321785033156,0.45652232735402,0.513907658740202,0.301347359641045,0.761583123646081,NA,0.710922430960009,0.465767201584112,0.961668481396505,0.420895433357905,0.699688820449548,0.465117023142454,0.24090558836856,0.50077348724278,0.272368365263384,0.597113844171128,0.685448945481628,0.299000579820608,0.789641043070863,0.115483173652712,0.635832638845252,0.279627007098745,0.658251873238042,0.438746995505953,0.67721532872841,0.295686330324109,0.795329542816568,0.215022133550829,0.496821962382318,0.924094359658101,0.112822629614974,0.213694449579574,0.276638144349357,0.644872377202415,0.483101736903262,0.897667620064158,0.334647468817643,0.811061258175041,0.242426426613791,0.560024477597189,0.410814209988628,0.841046032183157,0.349630452166854,0.747028798091106,0.221640847775046,0.745230870947543,0.673327598441062,0.293932783592848,0.532354605099364,0.642522946965181,0.874636526076302,0.236759496972602,0.712002179322887,0.334508957336744,0.912800494953309,0.461968109520621,0.89401625894949,0.485406864494807,0.702864831505186,0.423931400291731,0.311418606600372,0.66082329029163,0.655811476912271,0.469409995257509,0.112249387573854,0.611094787018144,0.438268339335687,0.453464540200859,0.646115059260715,0.488441111236969
"TCGA-A2-A04T-01",0.557594730607548,0.432816432935123,0.301214921079454,0.242068574579517,0.695562218574481,0.797091523735528,0.171303551318301,0.232143758574289,0.258244168926795,0.494904427510467,0.134746296240683,NA,0.804932292358931,0.816570749950529,0.654545319203213,0.274094315969947,0.847816560112605,0.559968481664397,0.492910708076117,0.390407867702689,0.368391942074244,0.359777700675678,0.231301134602179,0.528391559627789,0.576174575418261,0.425562371499484,0.447072957855193,0.323641836800432,0.415562326948587,0.380199375846454,0.355209394972523,0.877975447923071,0.484909182260585,0.187350530893891,0.17194277509839,0.479907763610602,0.279995710945194,0.774614900740582,0.908926843763861,0.0462834889711638,0.236138939565772,0.980934054723002,0.411057155718647,0.520247305704824,0.43957673201601,0.161129137414387,0.600810952598098,0.796284132935469,0.295967642311431,0.885944017315959,0.277002611965852,0.754028534425056,0.478016268892408,0.889028189226943,0.87700455852878,0.159066425138348,0.582953787309257,0.477729522803635,0.733509970595172,0.930810015824204,0.340857281057929,0.18153115711515,0.66110807475439,0.622991828242591,0.476179380578588,0.871902637742331,0.559952387774296,0.79892465616123,0.592639001650156,0.622876712159608,0.133525141096269,0.630390720945187,0.493419595936024,0.732965287218281,0.497859576431712,0.5041754529637
"TCGA-A2-A04U-01",0.243286967234943,0.356946329332212,0.504534942921345,0.0279833005264696,0.501685221993842,0.869142405428925,0.310647718820987,0.318853376494523,0.456324427333956,0.254217981437315,0.675970127465517,NA,0.84405904991438,0.391064608610122,0.741800895545312,0.708351808995842,0.919887643653051,0.299276087769038,0.678064432211193,0.27473974556158,0.300564946894,0.43322448711317,0.0476224393935885,0.524876451120802,0.974373329177384,0.199734200319739,0.351122991097816,0.412356346672958,0.232235276765391,0.715700568618483,0.0908966274082341,0.404204930203031,0.993230143635632,0.293467588200158,0.738021532112944,0.536872379730599,0.236793924594575,0.311047811859669,0.98041076208772,0.758640394450977,0.661761487028199,0.629539398576268,0.297998540358801,0.280120970492131,0.115560971857743,0.718368209943599,0.500315594001589,0.35739552019379,0.760064205211186,0.937683819670327,0.548640999280047,0.378326572220596,0.874806901615762,0.022645017806318,0.779657262605616,0.392759263915055,0.787109211356576,0.384232642747262,0.898660439115378,0.956643838640138,0.232114610581841,0.233026365971022,0.847139928739987,0.741796322893961,0.538358516055515,0.909051179763783,0.678857443547524,0.75108336254004,0.420283549557091,0.466072203750397,0.203211633130012,0.565094904163685,0.409574945956443,0.809334026383432,0.465501013141199,0.570247261053536
