"","AKT","AMP_ATP","AMPK","APC","BAD","Bak","BAX","BCL2","Bcl_XL","beta_catenin","Caspase8","Caspase9","Cdc20","Cdh1","CHK1_2","COX412","CyclinA","E_cadherin","eEF2","eEF2K","ERK1_2","FADD","FOXO","GLUT1","GSH","GSK_3","HIF1","IKK","JNK","LDHA","MAX","Mdm2","Miz_1","mTOR","MXI1","MYC","NF1","NF_kB","p14ARF","p15","p21","p53","p70S6kab","p90RSK","PDK1","PHDs","PI3K","PKC","PTEN","Rheb","ROS","Slug","Snail","TAK1","TERT","TGFbeta","TNFalpha","TSC1_2","UbcH10","VHL","WNT","Rb","p27","CyclinB","CyclinD","CyclinE","Dsh","E2F","GLI","Raf","RAGS","Ras","RTK","Smad2_3_Smad4","TCF","VEGF"
"TCGA-A1-A0SF-01",0.569038502851767,0.90087086212761,0.532279209616131,0.0236984848145338,0.620067536479416,0.340926733610212,0.375960159066626,0.62667380882407,0.513936557829088,0.676068188025414,0.39132152352001,NA,0.955005505705215,0.0430090427355359,0.30007500356422,0.233628067309475,0.919422666953313,0.760823706086863,0.458120904582372,0.824117735721769,0.503916609769269,0.908451327668132,0.249098401837161,0.914543599432066,0.973845281415415,0.616179623145394,0.185187503137414,0.257432824827561,0.905466360482503,0.535515498351885,0.933676315860215,0.556801586008951,0.844313411555369,0.687990678157443,0.4120366365638,0.717733242369817,0.210483032657813,0.569367831244166,0.539114457389366,0.432173825981567,0.326597687041031,0.217546773752068,0.220956416354013,0.35054906545553,0.458009680057129,0.937061380403908,0.666826786934189,0.68424851761589,0.516509798744464,0.687843735253926,0,0.357549232099257,0.308031514578959,0.126837533426172,0.316910447521704,0.772598672913968,0.407915715500133,0.635898676004508,0.947625624815188,0.279780001404863,0.722191531245748,0.63930203158648,0.426935582185767,0.414738227311069,0.315592600243315,0.389170392139272,0.477599255046582,0.744297149845559,0.734290051316393,0.444883809201408,0.169867382651441,0.445264081857367,0.449539336984205,0.29640051554804,0.0821337232504819,0.226860134808882
"TCGA-A1-A0SH-01",0.698620368213488,0.231687547297502,0.67721532872841,0.46439600139628,0.74935345141556,0.431691241562351,0.403960732420408,0.499218858089266,0.167159199173449,0.609840967875694,0.40157735184893,NA,0.80630801732978,0.398692506913998,0.50043723037748,0.198215480624598,0.898241374238187,0.548590994111501,0.711177991671395,0.581552075871117,0.700256703788984,0.784261660286821,0.130408028831305,0.908656967638563,0.878337307879055,0.741389611748256,0.52542183230298,0.590001602495571,0.950924699922042,0.754853211580944,0.317791838204967,0.716783278460229,0.391865035005427,0.459029756498001,0.0345126490717659,0.328387298194941,0.844193260779918,0.643736459229322,0.739916224887601,0.612122369303739,0.759467319464118,0.560432639697387,0.604675682940479,0.561810052622668,0.446546872749798,0.424912944587952,0.752428128142031,0.737055005269854,0.780031277901992,0.242189622237793,0.346538209263727,0.78201265112562,0.385583514398089,0.55217930034893,0,0.898064481198064,0.773979284448272,0.529209712101263,0.84304280797725,0.624521599182754,0.0888185938126668,0.642555943606204,0.335310664195448,0.376820248462711,0.422412534886407,0.346017482901463,0.522009113156355,0.562567637119179,0.624564861634008,0.533135036897501,0.0743714071361608,0.586385373013007,0.455155892787438,0.527338992959178,0.416324936769787,0.313258010292318
"TCGA-A1-A0SJ-01",0.39865150682181,0.536757495982122,0.363516955711141,0.312237690311495,0.652589077799546,0.186501030472876,0.403280269337342,0.846412497847783,0.606206319158075,0.323339698629113,0.201182345818361,NA,0.966409396919965,0.213848146790066,0.194701109523427,0.356879483183296,0.98205238053034,0.58158924517039,0.403851042299355,0.533624884416526,0.411448264698432,0.988337553602708,0.1747717264137,0.98780977794285,0.933837756003954,0.567511312157768,0.724421065028941,0.195777631776897,0.320332801198528,0.578172951547447,0.113120355960978,0.999911870331231,0.445344948524967,0.466834366747803,0.0413326007421138,0.520771870338724,0.847573116612766,0.60367995086266,0.457898073284232,0.433909546308888,0.491130744709367,0.242654118952139,0.63788276369551,0.253131192200385,0.841326257659217,0.655574671235022,0.797106324630061,0.502966891472435,0.338146079093886,0.852405290411177,0.212852999876084,0.180417042256722,0.273316802224034,0.536286583625335,0.494169423162301,0.924935439894813,0.707973505611218,0.386312939229636,0.986168157332071,0.13849412743447,0.365850774133981,0.300373677521502,0.604152571073264,0.719772561516964,0.522863807901875,0.61934574746283,0.571725558053912,0.824782455510597,0.255870233162976,0.464439670096741,0.00172413300518466,0.802681333475884,0.448870188649813,0.484429227759416,0.0928014468550132,0.282912578633043
"TCGA-A1-A0SK-01",0.265791434520161,0.677684862697382,0.402028017098651,0.107568430099974,0.139270403672552,0.495120896615122,0.427201427160391,0.908923816695242,0.423627794849984,0.32232050218954,0.133163302465452,NA,0.99118416452466,0.939186474049501,0.881008944042695,0.125835317819705,0.995885084368388,0.235043519006566,0.598723109271287,0.145229425197999,0.254735047845874,0.294314671953398,0.00179455705610764,0.995780682783396,0.727194572913355,0.317718127084054,0.897536506488606,0.747592520037672,0.307638310598229,0.86095969728215,0.106311488624042,0.638582530770591,0.799779641217171,0.23678628782163,0.787992135156231,0.575437373356446,0.517072823676602,0.54093711520396,0.882858383099449,0.314970544820334,0.56293375221803,0.9706282127772,0.177316547490845,0.36564601289786,0.0621374221370195,0.756571024310042,0.61609519336399,0.407245812109087,0.35382044614957,0.99185225124363,0.580226933659483,0.0268331801990895,0.617337855037447,0.857104260292512,1,0.243327729248305,0.371899270000953,0.270466932141301,0.993101488408494,0.686786174072554,0.492467326723969,0.358344577563072,0.987099327979068,0.915332942759966,0.268171236928807,0.99865820750574,0.848744852115082,0.874197549444196,0.141750353523412,0.379248148300453,0.00287776279215219,0.859946580087063,0.334619711707687,0.906393337158517,0.274362020736735,0.344809201195758
"TCGA-A1-A0SQ-01",0.319585447980644,0.6388454159458,0.928831404392337,0.23960326919454,0.724415823357809,0.499410199824466,0.045486056105622,0.835199339503709,0.735293216649372,0.777497760358981,0.802681683757216,NA,0.919489968568613,0.531942413834266,0.617254718871813,0.646032912420508,0.92322273590869,0.682426017456263,0.210334186228337,0.806827137632721,0.72310084540436,0.996742427495713,0.00305324277960099,0.969032554446236,0.886291895853981,0.558879099047605,0.0493592392352053,0.597137114893212,0.752812452454486,0.376199623087333,0.0996078800146204,0.75435737015056,0.756694049749059,0.823694658287353,0.0794143687059586,0.607833193836198,0.439586260020951,0.472977513603146,0.318919517947729,0.338158455114134,0.421898369931135,0.573627386755036,0.191907279000119,0.717657472298722,0.643119544133814,0.991263435032559,0.250250014001409,0.190365637190329,0.762425593365656,0.167843962050719,0.428111321618365,0.0510681845404599,0.84608046793009,0.210566236468372,0.25249957291113,0.430243366778132,0.246907159756735,0.684346545164178,0.967416830374801,0.361225982358171,0.317834757128937,0.739452065355084,0.872671889238825,0.43371666504149,0.323963104947912,0.326425666324792,0.551494752666599,0.574398905158375,0.0976320419893732,0.480973349462371,0.0119346872104321,0.543846585764386,0.414069383429246,0.399552835638712,0.0457826686118486,0.39702735459849
"TCGA-A2-A04N-01",0.643796748371235,0.578872982166434,0.336332499668469,0.09158382871522,0.658739641439888,0.299435646598825,0.563893187551401,0.456299704135267,0.21642844981302,0.313238156036768,0.5,NA,0.901445357419834,0.100945750953722,0.407839683051291,0.271244580842942,0.860718299209854,0.432258099388731,0.319407221873932,0.352415675651925,0.868048945074334,0.836935974729771,0.0574400074867564,0.885925465274665,0.951283805968701,0.490227139245905,0.284307867938129,0.212851208119068,0.930257655583645,0.793820876616721,0.85451201388846,0.683939350533101,0.757440647965335,0.308200941992243,0.128627234728586,0.648184400223615,0.217432653983011,0.712872365987773,0.642035115692141,0.481228604652972,0.864419128742091,0.529015251124523,0.738803976661104,0.409838321344115,0.706674984049048,0.675395363404714,0.401351156301454,0.838409167662115,0.403909753145628,0.58053633810584,0,0.309410059619643,0.559330123640907,0.158898228152645,0.303644543664265,0.79992633806707,0.428400318402492,0.279271092811336,0.906994410908585,0.644894161005275,0.388169617458961,0.384059234474701,0.42443200735404,0.468996023215948,0.233363969555572,0.303859546553158,0.664652854381237,0.692058661809325,0.261964364551829,0.697268605782488,0.00824116514784556,0.658189652444516,0.38788216651562,0.324264358990365,0.2219959478987,0.322463509399427
"TCGA-A2-A04P-01",0.87660911537819,0.116310782260675,0.665412078391634,0.00796215634560681,0.651878166199664,0.356954874699165,0.32945061909371,0.194275505527245,0.121069798795714,0.631580260629721,0.187263359059483,NA,0.991970307480921,0.00136661265411776,0.404545501443452,0.425504621890903,0.990538045289921,0.59134345719833,0.337584905214682,0.140444879753007,0.20217680780727,0.94466842705744,0.0216804917681863,0.828838017635788,0.330293364845534,0.568458787937082,0.974825990520557,0.0241045393513475,0.233928423886509,0.861465370735938,0.631277368730658,0.0289310637355352,0.811401735053034,0.802736666675252,0.0194444325612575,0.832145374825395,0.0178760537400611,0.675362747449513,0.858819772256585,0.557093705110968,0.102639776891387,0.47431245466039,0.425331906088314,0.581421836616824,0.156118228945306,0.778721983618111,0.999999982072613,0.358737999062246,0.917832667709709,0.833688847068607,0.363813927091725,0.0912546666840476,0.487987726920203,0.0535241765664865,0.0955433368378856,0.734260580811112,0.851376893251678,0.556100460046308,0.988973030971107,0.208030161228291,0.284041756566776,0.111911789649747,0.337611214315247,0.806054397349926,0.169352286387812,0.673654790895217,0.593988177544334,0.719916240062158,0.251548114820409,0.337417383082082,0.000333190880542523,0.905170899946132,0.343374066649518,0.121045231366686,0.465096291311427,0.427057557340291
"TCGA-A2-A04Q-01",0.36731795156034,0.0523449158436402,0.241606448904978,0.00773145540327846,0.333886458968196,0.430150967177834,0.527321785033156,0.45652232735402,0.513907658740202,0.301347359641045,0.761583123646081,NA,0.979896407976291,0.26079703010702,0.961668481396505,0.233083011971089,0.987461596779503,0.465117023142454,0.24090558836856,0.50077348724278,0.272368365263384,0.911671676900017,0.099426332618674,0.634678988557648,0.982017940550873,0.115483173652712,0.882659601015597,0.165972447540322,0.658251873238042,0.646948018288422,0.886506927790343,0.316621775209368,0.900457278410077,0.215022133550829,0.0619303594872909,0.924094359658101,0.0201092731928678,0.213694449579574,0.276638144349357,0.50017380450464,0.483101736903262,0.897667620064158,0.334647468817643,0.811061258175041,0.242426426613791,0.810408564823759,0.410814209988628,0.841046032183157,0.349630452166854,0.928838568935017,0.221640847775046,0.470776923598008,0.673327598441062,0.0517899027958455,0.273953912477848,0.878118681733706,0.798632109005333,0.236759496972602,0.984141774013529,0.355512836321521,0.825998871247697,0.461968109520621,0.89401625894949,0.64799210840263,0.519184192485646,0.423931400291731,0.230315746402479,0.875942846033038,0.510776510454074,0.469409995257509,0.000175441709362836,0.794563569552695,0.30138956600228,0.365537892176271,0.53450204580143,0.200323623422181
"TCGA-A2-A04T-01",0.557594730607548,0.344416537463149,0.301214921079454,0.0269707631943442,0.695562218574481,0.797091523735528,0.171303551318301,0.232143758574289,0.258244168926795,0.494904427510467,0.134746296240683,NA,0.988750554018863,0.872082375815732,0.654545319203213,0.144415135324475,0.99603871487334,0.559968481664397,0.492910708076117,0.390407867702689,0.368391942074244,0.696583136469958,0.00780193243302642,0.883212950024146,0.908068961653161,0.425562371499484,0.457223301183467,0.222301332394011,0.415562326948587,0.573936795614743,0.344626524442583,0.961245507618609,0.616214542815306,0.187350530893891,0.00413920653390808,0.479907763610602,0.112704877318529,0.774614900740582,0.908926843763861,0.159510646169794,0.236138939565772,0.980934054723002,0.411057155718647,0.520247305704824,0.43957673201601,0.173339255357008,0.600810952598098,0.796284132935469,0.295967642311431,0.98701452902277,0.277002611965852,0.484992300258371,0.478016268892408,0.970444895729685,0.61242047171577,0.37546852256967,0.425908704772929,0.477729522803635,0.985786697576065,0.957508167380252,0.14936780558164,0.18153115711515,0.66110807475439,0.628338722649657,0.267945918719111,0.871902637742331,0.553098317822616,0.941548277471117,0.397280013307145,0.622876712159608,0.000341040293020184,0.833162143538453,0.384574754476665,0.75409835202361,0.493729324119738,0.329061645257491
"TCGA-A2-A04U-01",0.243286967234943,0.220820743720822,0.504534942921345,0.000436908943948086,0.501685221993842,0.869142405428925,0.310647718820987,0.318853376494523,0.456324427333956,0.254217981437315,0.675970127465517,NA,0.991716905092969,0.168393324505028,0.741800895545312,0.473162358697925,0.998484240039829,0.299276087769038,0.678064432211193,0.27473974556158,0.300564946894,0.787159159584392,0.000716565247028729,0.880979497642558,0.999628785101268,0.199734200319739,0.211871056592786,0.356715601936746,0.232235276765391,0.889922127878703,0.0165250888258266,0.475770792022553,0.998681778560344,0.293467588200158,0.297671092097055,0.536872379730599,0.0807844205798052,0.311047811859669,0.98041076208772,0.562799657374249,0.661761487028199,0.629539398576268,0.297998540358801,0.280120970492131,0.115560971857743,0.928297588565102,0.500315594001589,0.35739552019379,0.760064205211186,0.996071013861571,0.548640999280047,0.116579805923154,0.874806901615762,0.000105395090335094,0.483160496422632,0.700009275978194,0.671647955835977,0.384232642747262,0.995724756866564,0.975240038060478,0.0888185938126668,0.233026365971022,0.847139928739987,0.919259451235942,0.405155411387556,0.909051179763783,0.703441955998872,0.964773431459541,0.147228480030437,0.466072203750397,0.00210605363716035,0.726849547203065,0.320403184857873,0.806001830777498,0.490311751817489,0.360930040952642
