"","AKT","AMPK","BAD","Bak","BAX","BCL2","Bcl_XL","beta_catenin","Caspase8","Caspase9","CHK1_2","E_cadherin","eEF2","eEF2K","ERK1_2","GSK_3","JNK","mTOR","MYC","NF_kB","p14ARF","p21","p53","p70S6kab","p90RSK","PDK1","PI3K","PKC","PTEN","Snail","TSC1_2","Rb","p27","CyclinB","CyclinD","CyclinE","Dsh","Raf","Ras","RTK","Smad2_3_Smad4"
"TCGA-A1-A0SF-01",0.569038502851767,0.532279209616131,0.620067536479416,0.340926733610212,0.375960159066626,0.62667380882407,0.513936557829088,0.676068188025414,0.39132152352001,NA,0.30007500356422,0.760823706086863,0.458120904582372,0.824117735721769,0.503916609769269,0.616179623145394,0.905466360482503,0.687990678157443,0.717733242369817,0.569367831244166,0.539114457389366,0.326597687041031,0.217546773752068,0.220956416354013,0.35054906545553,0.458009680057129,0.666826786934189,0.68424851761589,0.516509798744464,0.308031514578959,0.635898676004508,0.63930203158648,0.426935582185767,0.291341173267038,0.153217410906711,0.389170392139272,0.310191457067266,0.444883809201408,0.330996240766217,0.564917788755943,0.347622210424905
"TCGA-A1-A0SH-01",0.698620368213488,0.67721532872841,0.74935345141556,0.431691241562351,0.403960732420408,0.499218858089266,0.167159199173449,0.609840967875694,0.40157735184893,NA,0.50043723037748,0.548590994111501,0.711177991671395,0.581552075871117,0.700256703788984,0.741389611748256,0.950924699922042,0.459029756498001,0.328387298194941,0.643736459229322,0.739916224887601,0.759467319464118,0.560432639697387,0.604675682940479,0.561810052622668,0.446546872749798,0.752428128142031,0.737055005269854,0.780031277901992,0.385583514398089,0.529209712101263,0.642555943606204,0.335310664195448,0.179291167284676,0.320474082413416,0.346017482901463,0.881311917504736,0.533135036897501,0.445059467589847,0.518070156782667,0.385958991958834
"TCGA-A1-A0SJ-01",0.39865150682181,0.363516955711141,0.652589077799546,0.186501030472876,0.403280269337342,0.846412497847783,0.606206319158075,0.323339698629113,0.201182345818361,NA,0.194701109523427,0.58158924517039,0.403851042299355,0.533624884416526,0.411448264698432,0.567511312157768,0.320332801198528,0.466834366747803,0.520771870338724,0.60367995086266,0.457898073284232,0.491130744709367,0.242654118952139,0.63788276369551,0.253131192200385,0.841326257659217,0.797106324630061,0.502966891472435,0.338146079093886,0.273316802224034,0.386312939229636,0.300373677521502,0.604152571073264,0.684904362115332,0.689949481729598,0.61934574746283,0.308118054330227,0.464439670096741,0.609079743885602,0.656193013219127,0.565305988642697
"TCGA-A1-A0SK-01",0.265791434520161,0.402028017098651,0.139270403672552,0.495120896615122,0.427201427160391,0.908923816695242,0.423627794849984,0.32232050218954,0.133163302465452,NA,0.881008944042695,0.235043519006566,0.598723109271287,0.145229425197999,0.254735047845874,0.317718127084054,0.307638310598229,0.23678628782163,0.575437373356446,0.54093711520396,0.882858383099449,0.56293375221803,0.9706282127772,0.177316547490845,0.36564601289786,0.0621374221370195,0.61609519336399,0.407245812109087,0.35382044614957,0.617337855037447,0.270466932141301,0.358344577563072,0.987099327979068,0.82266794318027,0.390354187510007,0.99865820750574,0.7268831487875,0.379248148300453,0.581773440272502,0.2181375402747,0.865253023086526
"TCGA-A1-A0SQ-01",0.319585447980644,0.928831404392337,0.724415823357809,0.499410199824466,0.045486056105622,0.835199339503709,0.735293216649372,0.777497760358981,0.802681683757216,NA,0.617254718871813,0.682426017456263,0.210334186228337,0.806827137632721,0.72310084540436,0.558879099047605,0.752812452454486,0.823694658287353,0.607833193836198,0.472977513603146,0.318919517947729,0.421898369931135,0.573627386755036,0.191907279000119,0.717657472298722,0.643119544133814,0.250250014001409,0.190365637190329,0.762425593365656,0.84608046793009,0.684346545164178,0.739452065355084,0.872671889238825,0.38425143587187,0.762224542930635,0.326425666324792,0.416358953768501,0.480973349462371,0.432779376876395,0.633180933065392,0.591104430720073
"TCGA-A2-A04N-01",0.643796748371235,0.336332499668469,0.658739641439888,0.299435646598825,0.563893187551401,0.456299704135267,0.21642844981302,0.313238156036768,0.5,NA,0.407839683051291,0.432258099388731,0.319407221873932,0.352415675651925,0.868048945074334,0.490227139245905,0.930257655583645,0.308200941992243,0.648184400223615,0.712872365987773,0.642035115692141,0.864419128742091,0.529015251124523,0.738803976661104,0.409838321344115,0.706674984049048,0.401351156301454,0.838409167662115,0.403909753145628,0.559330123640907,0.279271092811336,0.384059234474701,0.42443200735404,0.187868348797667,0.480163463150499,0.303859546553158,0.465787833887011,0.697268605782488,0.505980474813662,0.434330861259376,0.316335771262066
"TCGA-A2-A04P-01",0.87660911537819,0.665412078391634,0.651878166199664,0.356954874699165,0.32945061909371,0.194275505527245,0.121069798795714,0.631580260629721,0.187263359059483,NA,0.404545501443452,0.59134345719833,0.337584905214682,0.140444879753007,0.20217680780727,0.568458787937082,0.233928423886509,0.802736666675252,0.832145374825395,0.675362747449513,0.858819772256585,0.102639776891387,0.47431245466039,0.425331906088314,0.581421836616824,0.156118228945306,0.999999982072613,0.358737999062246,0.917832667709709,0.487987726920203,0.556100460046308,0.111911789649747,0.337611214315247,0.606508066192783,0.0867926025674174,0.673654790895217,0.639322745964289,0.337417383082082,0.814539627370236,0.365419108406607,0.180986170009197
"TCGA-A2-A04Q-01",0.36731795156034,0.241606448904978,0.333886458968196,0.430150967177834,0.527321785033156,0.45652232735402,0.513907658740202,0.301347359641045,0.761583123646081,NA,0.961668481396505,0.465117023142454,0.24090558836856,0.50077348724278,0.272368365263384,0.115483173652712,0.658251873238042,0.215022133550829,0.924094359658101,0.213694449579574,0.276638144349357,0.483101736903262,0.897667620064158,0.334647468817643,0.811061258175041,0.242426426613791,0.410814209988628,0.841046032183157,0.349630452166854,0.673327598441062,0.236759496972602,0.461968109520621,0.89401625894949,0.284797893953892,0.681659906901232,0.423931400291731,0.242616080621714,0.469409995257509,0.93226697509351,0.316760281814102,0.536736709714536
"TCGA-A2-A04T-01",0.557594730607548,0.301214921079454,0.695562218574481,0.797091523735528,0.171303551318301,0.232143758574289,0.258244168926795,0.494904427510467,0.134746296240683,NA,0.654545319203213,0.559968481664397,0.492910708076117,0.390407867702689,0.368391942074244,0.425562371499484,0.415562326948587,0.187350530893891,0.479907763610602,0.774614900740582,0.908926843763861,0.236138939565772,0.980934054723002,0.411057155718647,0.520247305704824,0.43957673201601,0.600810952598098,0.796284132935469,0.295967642311431,0.478016268892408,0.477729522803635,0.18153115711515,0.66110807475439,0.839871191398566,0.206045145567017,0.871902637742331,0.624492266909911,0.622876712159608,0.719330580707972,0.333242730335772,0.682621223291691
"TCGA-A2-A04U-01",0.243286967234943,0.504534942921345,0.501685221993842,0.869142405428925,0.310647718820987,0.318853376494523,0.456324427333956,0.254217981437315,0.675970127465517,NA,0.741800895545312,0.299276087769038,0.678064432211193,0.27473974556158,0.300564946894,0.199734200319739,0.232235276765391,0.293467588200158,0.536872379730599,0.311047811859669,0.98041076208772,0.661761487028199,0.629539398576268,0.297998540358801,0.280120970492131,0.115560971857743,0.500315594001589,0.35739552019379,0.760064205211186,0.874806901615762,0.384232642747262,0.233026365971022,0.847139928739987,0.873325645725711,0.443196474816274,0.909051179763783,0.762737267561155,0.466072203750397,0.833762354971668,0.33889840199212,0.833401804808705
