"","AKT","BAD","BCL2_T","BIM_T","ESR1","FOXA1","FOXO3","HER2","HER3_T","IGF1R_T","KMT2D","MAPK","MCL1","mTORC1","MYC","PBX1","PDK1","PI3K","PRAS40","pRb","PTEN","S6K","SGK1_T","mTORC2","CDK46","cycE_CDK2_T","cyclinD","E2F","EIF4F","p21_p27_T","PIM","RAS","TSC"
"MB-0000",0.238537254874345,0.403825363540432,0.61263913862133,0.543156325546495,0.928574399073941,0.00408899236503964,0.728520387921198,0.182269716040764,0.0858275819393354,0.358197186989131,0.954039825306247,0.307877190539282,0.97277016356966,0.341858101638305,0.941206733083808,0.169970107848939,0.426323588502132,0.302176069285026,0.392841933937863,0.41036664077533,0.839269672012643,0.35786872246005,0.935647112991829,0.341858101638305,0.396608396492896,0.213467039840334,0.557331455467564,0.360352567400399,0.470784949725993,0.687885332925921,0.80314596235415,0.256199894958759,0.418722028531442
"MB-0002",0.535744481604758,0.894714149370457,0.557812187118,0.155162682668775,0.999532603965295,0.682704399400888,0.128353689180825,0.268030059427342,0.630093565385802,0.498739653230461,0.756079217475556,0.383047053064993,0.685413537376086,0.401738798499339,0.687261118717056,0.3861983072554,0.563979824387031,0.344049610813736,0.513243308155467,0.112471889423917,0.626400081999336,0.127296622078462,0.126532797799592,0.401738798499339,0.515848232454828,0.422705689944677,0.518219156778857,0.374232255484899,0.523616319234352,0.764686109420154,0.257088975574477,0.641848080333301,0.516209564048593
"MB-0005",0.759642763968849,0.81448256461217,0.217579809312723,0.326567455149161,0.999520110218781,0.629837555081688,0.177197004565766,0.267100540160765,0.128731618263757,0.308228260143247,0.544107001935687,0.617238298007829,0.91602859964907,0.11865690447036,0.315049144182139,0.360723833992578,0.346433322900854,0.948356239437726,0.590024326813442,0.831289943007088,0.367089691139399,0.16844636522801,0.812915833140641,0.11865690447036,0.504282673546225,0.553509347263231,0.315085371309796,0.483452594406503,0.457707174182438,0.915583421046812,0.560009015390501,0.649979293910481,0.219325333619411
"MB-0006",0.817579438409268,0.459357736982579,0.531703572890813,0.332496070477226,0.999908701117743,0.689426273098015,0.182462325368578,0.439036550398169,0.26795944994155,0.274926533352986,0.844706588968688,0.412912741588407,0.336739923847299,0.0991255473228004,0.362750303232646,0.463090935032579,0.291498860419323,0.989882977796354,0.22352998994933,0.849913867999118,0.656741634056455,0.916463936687465,0.390903562218006,0.0991255473228004,0.404766345939547,0.403071995834222,0.487610654455283,0.568738140678392,0.499114069409304,0.776637465635276,0.43434679348492,0.718943255065789,0.293804803405647
"MB-0008",0.275857991469788,0.6382373057813,0.19187212319908,0.880624284473164,0.999998297753428,0.6019884593016,0.133973425681789,0.327338852845661,0.842127757321566,0.32396879769969,0.850774885892449,0.812198174139453,0.818004449868711,0.324851444944683,0.638351349990101,0.605290801027816,0.82580808996667,0.394052403087885,0.261646095234129,0.7565217971669,0.532873839703725,0.332398593441855,0.542320329975996,0.324851444944683,0.873862293517772,0.679905135626894,0.51792808752998,0.632166576332533,0.536939366183074,0.708446845702086,0.764643033102167,0.575439162259659,0.469399754096507
"MB-0010",0.743187728227327,0.670033621109847,0.223686505883308,0.31498097076805,0.999997985904442,0.77663945250746,0.637420272223855,0.270595483598654,0.894138863942573,0.511815736379219,0.135516475663994,0.537821096940245,0.59935333223934,0.104790897709949,0.289666423389503,0.641289068309444,0.824098059051404,0.659651211108447,0.647404486660121,0.7247438711082,0.768393587496136,0.58910191656291,0.630295467641198,0.104790897709949,0.670220721272091,0.6896716172653,0.394244957594008,0.581799179578361,0.549953980261278,0.431697907284805,0.453104389381506,0.637309912821558,0.562072108976396
"MB-0014",0.160134646296611,0.744601885060854,0.606652202867557,0.590001761016598,0.999984561941565,0.546016360185642,0.241407500741707,0.171768213962439,0.166578014499094,0.435216827981698,0.670516705690026,0.645628799943532,0.533103797594841,0.12227814132684,0.194202866085813,0.713574142633554,0.084640824416538,0.996022205889792,0.458496855237641,0.937177302601714,0.696189626028104,0.827444284825046,0.612022270716905,0.12227814132684,0.175195499273348,0.306731166146292,0.284502501754215,0.430822295253687,0.406139425423094,0.663326272870281,0.363057665719444,0.48794170710455,0.366739147438517
"MB-0022",0.126868700180649,0.306434716979283,0.46427094753114,0.40590891184859,0.99992253625104,0.248194113189183,0.341898996213745,0.08276070989639,0.130408905284664,0.326813780833385,0.707041216723063,0.798363686969704,0.410752795789602,0.0403750812455236,0.189718875523853,0.302632077437179,0.148889978849737,0.997327161244346,0.440544330930499,0.931524219451842,0.863813656113021,0.846481791361972,0.652586287576885,0.0403750812455236,0.353742027809556,0.463790921476261,0.47019669902337,0.455700075649202,0.34129173919495,0.6802652447469,0.55975493355398,0.543400063459899,0.390183095868763
"MB-0028",0.401814808584199,0.619625136148264,0.806023958674858,0.735970732988412,0.999999994211953,0.778364839994026,0.237825647593979,0.546280537893119,0.767738243034943,0.784291124540866,0.465899377183341,0.269222144982655,0.391493195665855,0.741410832044871,0.888282807393229,0.907858076682907,0.763592557111566,0.753679548867219,0.406199001905013,0.336872787177066,0.306069239985892,0.928241532464084,0.257621081781311,0.741410832044871,0.360457851429884,0.648928635029665,0.346638308910207,0.515288430109024,0.677952281662616,0.76849167934766,0.253308627403058,0.365181602857335,0.392602616774982
"MB-0035",0.924071300302785,0.580956046776427,0.0784518087749364,0.16312672531355,0.0219406306493195,0.909892085188337,0.337822492103135,0.774675255540679,0.882200365624708,0.592261713223906,0.463031690579325,0.603194093564097,0.37157126562058,0.655317710008274,0.0445716976159983,0.920192374913669,0.623208990335848,0.544734471438141,0.750335119343115,0.53229858590833,0.771336438820556,0.142708478106132,0.281255375831598,0.655317710008274,0.347225911132911,0.508395234974449,0.159811449604417,0.369613430180833,0.522718903556802,0.445231972719622,0.448720082349777,0.503003094559604,0.605068934116724
"MB-0036",0.234147704116039,0.876224209639376,0.692807878973942,0.412449109133982,0.999991608809925,0.731826494583299,0.312842936713694,0.349094067085204,0.348024108807714,0.75718380345938,0.302180768850347,0.459168146824709,0.369384884864458,0.455105942566158,0.758201052774114,0.211903854723133,0.52986500191439,0.263213217953321,0.554654237357844,0.365873679411659,0.275827103093827,0.403962599576444,0.652210395137835,0.455105942566158,0.38904120519689,0.238390934284951,0.54547653184751,0.37106206985011,0.528601646738349,0.608014173640973,0.629364492665704,0.486368809129199,0.413297740140287
"MB-0039",0.130794560260555,0.936629429777823,0.874257787844883,0.78974141520924,0.999999806149986,0.696269538715097,0.0957735593938032,0.206354204201201,0.131734997578136,0.694315898615967,0.885072187342704,0.283656596553578,0.12340913927771,0.100619498319821,0.158582348103537,0.322291745538867,0.100545390012572,0.998683348701057,0.57599021822244,0.509508650436208,0.831931594540503,0.818517696806524,0.0740399738063885,0.100619498319821,0.329769275757537,0.576069690562964,0.297914420243883,0.384336896867432,0.376066274828137,0.700660161256901,0.55600093783657,0.571710268672533,0.306949128171672
"MB-0045",0.305327395531297,0.294453606910826,0.534782805684757,0.492993812368153,0.000107261416132722,0.00382880610878435,0.258335190487326,0.241560949720376,0.211501103694175,0.214315465156263,0.613035664887773,0.879143564412271,0.76650959309884,0.217906802039723,0.867672617149454,0.128827126883296,0.51619788374987,0.560015407971717,0.247737076933545,0.500644279357545,0.654336395769513,0.653244802960883,0.817621501642345,0.217906802039723,0.766962884056225,0.503427595906465,0.656341511461639,0.543292395035091,0.529509892104767,0.654507134683299,0.767426036816748,0.428119212485067,0.210507123569058
"MB-0046",0.575665168533974,0.724309922395253,0.286213878996324,0.21810315394099,0.999999686709116,0.643975385649286,0.522317471362064,0.992538645102679,0.558666200723698,0.566336489236926,0.812547431374668,0.450858195219209,0.828187509591394,0.768459382142297,0.494568529109009,0.722553898101382,0.88361241117254,0.269019485244393,0.814946965472173,0.461562901606318,0.704513141483329,0.346877272581316,0.494922343968617,0.768459382142297,0.514514483609217,0.620335367674383,0.519408382128483,0.569150723214903,0.51418583468631,0.521269346981207,0.341232485819949,0.516544080818857,0.326852102054318
