n_profile Patient_ID Time E2F Hypoxia p53_PTEN IKK VEGF GSK_3_APC_AXIN Bcl_XL PIP3 PI3K Nutrients TH
0 MB-6026 19.99 0.700658 0.495 0 0.726 0.636 0.107 0.967 0.561 0.555 0.493 0.0028
1 MB-0489 19.98 0.048 0.495 0 0.974 0.513 0.518831 0.59 0.956 0.956 0.493 0.0234
2 MB-0120 19.98 0 0.495 0.776 0.246 0.571251 0.703 0.219 0.208 0.871 0.493 0.0224
3 MB-6124 19.98 0.067065 0.495 0.687 0.648 0.58 0.794 0.073 0.312636 0.914 0.493 0.004
4 MB-0400 19.99 0.306451 0.495 0 0.964 0.509 0.735 0.944 0.919 0.786 0.493 0.0069
5 MB-0624 19.98 0.035 0.495 0.818 0.302 0.675 0.403 0.202241 0.177 1 0.493 0.0089
6 MB-5502 19.99 0.563 0.495 0 0.964 0.576 0.402 1 1 1 0.493 0.0052
7 MB-4718 19.98 0.048 0.495 0.591 0.572 0.489249 0.696 0.369 0.413 1 0.493 0.0101
8 MB-4434 19.99 0.366 0.495 0.297 0.345 0.147 0.772748 0.542 0.698 0.518 0.493 0.023
9 MB-0241 19.98 0.094 0.495 0 0.898 0.729 0.815 0.951 0.759 0.754 0.493 0.0155
10 MB-7150 19.98 0.241 0.495 0 0.758 0.761 0.897 0.991 1 1 0.493 0.0012
11 MB-0468 19.98 0.006 0.495 0.749 0.238 0.68 0.327 0.221 0.16 0.517 0.493 0.0086
12 MB-0178 19.99 0.395423 0.495 0 0.773 0.733447 0.554 0.877 0.807 0.53 0.493 0.0124
13 MB-6092 19.98 0.130551 0.495 0.495 0.328 0.581 0.538048 0.487 0.365115 0.603 0.493 0.0295
14 MB-7293 19.98 0.008 0.495 0 0.736 0.739 0.956 0.916 1 1 0.493 0.002
15 MB-3797 19.98 0 0.495 0.975 0.597 0.307 0.25 0.008 0.009 0.395 0.493 0.0089
16 MB-4270 19.99 0.768 0.495 0 0.818 0.601 0.517 1 0.6 0.595 0.493 0.0071
17 MB-4339 19.99 0.779865 0.495 0.279 0.59 0.239 0.517 0.688 0.671 0.886 0.493 0.023
18 MB-4139 19.99 0.194 0.495 0.864 0.107 0.119 0.972 0.417 0.108 0.760358 0.493 0.0667
19 MB-4324 19.99 0.577426 0.495 0.603 0.829 0.335 0.9 0.482 0.377 0.908 0.493 0.0925
20 MB-0526 19.98 0 0.495 0.824 0.087 0.485 0.995 0.361 0.108106 0.529 0.493 0.0104
21 MB-4876 19.98 0.46319 0.495 0.611392 0.707 0.59 0.647 0.388 0.38 0.986 0.493 0.0068
22 MB-0287 19.98 0.01 0.495 0.772 0.161 0.32 0.933 0.137 0.137 0.542 0.493 0.0083
23 MB-0421 19.98 0.026 0.495 0.874 0.251 0.765 0.988 0.065 0.06 0.419179 0.493 0.0349
24 MB-4739 19.98 0.014 0.495 0.744 0.453 0.552 0.52 0.258 0.247 1 0.493 0.009
25 MB-5041 19.99 0.407 0.495 0 0.927 0.665 0.506 1 0.846 0.84 0.493 0.0115
26 MB-4421 19.99 0.836 0.495 0.217 0.764 0.466 0.576186 0.772 0.793 1 0.493 0.0224
27 MB-7170 19.98 0.168761 0.495 0.588 0.641 0.499 0.633 0.204 0.102 0.236 0.493 0.0258
